	3	data/treex/000_orig/train//047#59:и
A ПРЕВ ЕД СРЕД ИМ	10	data/treex/000_orig/train//012#340:крупнейшее
A ПРЕВ ЕД СРЕД ПР	1	data/treex/000_orig/train//046#53:сильнейшем
A ПРЕВ ЕД СРЕД РОД	9	data/treex/000_orig/train//023#313:быстрейшего
A ПРЕВ ЕД СРЕД ТВОР	2	data/treex/000_orig/train//011#242:новейшим
A ПРЕВ МН ВИН НЕОД	24	data/treex/000_orig/train//001#79:существеннейшие
A ПРЕВ МН ВИН ОД	1	data/treex/000_orig/train//005#346:сильнейших
A ПРЕВ МН ДАТ	4	data/treex/000_orig/train//001#438:древнейшим
A ПРЕВ МН ИМ	23	data/treex/000_orig/train//003#272:крупнейшие
A ПРЕВ МН ПР	4	data/treex/000_orig/train//001#44:тяжелейших
A ПРЕВ МН РОД	68	data/treex/000_orig/train//001#461:крупнейших
A ПРЕВ МН ТВОР	5	data/treex/000_orig/train//028#463:ближайшими
A СЛ	345	data/treex/000_orig/train//001#80:анархическо
A СРАВ	603	data/treex/000_orig/train//001#315:Лучше
A СРАВ СМЯГ	46	data/treex/000_orig/train//001#193:поглубже
ADV	29901	data/treex/000_orig/train//001#2:всего
ADV МЕТА	3	data/treex/000_orig/train//014#395:только
ADV НЕСТАНД	3	data/treex/000_orig/train//004#281:Сюда-а
ADV СРАВ	994	data/treex/000_orig/train//001#14:позднее
ADV СРАВ СМЯГ	47	data/treex/000_orig/train//001#239:поближе
COM	314	data/treex/000_orig/train//001#88:пост…
COM СЛ	13	data/treex/000_orig/train//008#213:полу
CONJ	32228	data/treex/000_orig/train//001#1:но
CONJ МЕТА	4	data/treex/000_orig/train//022#365:или
INTJ	83	data/treex/000_orig/train//001#337:Ах
INTJ МЕТА	1	data/treex/000_orig/train//007#75:ох
NID	1618	data/treex/000_orig/train//001#81:homo
NUM	5257	data/treex/000_orig/train//001#1:9
NUM ВИН	276	data/treex/000_orig/train//001#3:семь
NUM ВИН НЕОД	413	data/treex/000_orig/train//001#40:ТРИ
NUM ВИН ОД	23	data/treex/000_orig/train//001#22:семерых
NUM ВИН ОД НЕПРАВ	1	data/treex/000_orig/train//067#29:троих
NUM ДАТ	33	data/treex/000_orig/train//001#139:трем
NUM ЕД ЖЕН ВИН	58	data/treex/000_orig/train//001#156:одну
NUM ЕД ЖЕН ДАТ	24	data/treex/000_orig/train//003#214:одной
NUM ЕД ЖЕН ИМ	108	data/treex/000_orig/train//001#23:Одна
NUM ЕД ЖЕН ПР	49	data/treex/000_orig/train//001#39:одной
NUM ЕД ЖЕН РОД	74	data/treex/000_orig/train//001#424:одной
NUM ЕД ЖЕН ТВОР	33	data/treex/000_orig/train//001#461:Одной
NUM ЕД МУЖ ВИН НЕОД	91	data/treex/000_orig/train//001#374:один
NUM ЕД МУЖ ВИН ОД	17	data/treex/000_orig/train//001#22:одного
NUM ЕД МУЖ ДАТ	23	data/treex/000_orig/train//002#445:одному
NUM ЕД МУЖ ИМ	231	data/treex/000_orig/train//002#102:Один
NUM ЕД МУЖ ПР	53	data/treex/000_orig/train//001#96:одном
NUM ЕД МУЖ РОД	87	data/treex/000_orig/train//005#2:одного
NUM ЕД МУЖ ТВОР	70	data/treex/000_orig/train//002#68:Одним
NUM ЕД СРЕД ВИН	23	data/treex/000_orig/train//006#80:одно
NUM ЕД СРЕД ДАТ	8	data/treex/000_orig/train//020#159:одному
NUM ЕД СРЕД ИМ	66	data/treex/000_orig/train//001#8:одно
NUM ЕД СРЕД ПР	13	data/treex/000_orig/train//002#61:одном
NUM ЕД СРЕД РОД	13	data/treex/000_orig/train//006#262:одного
NUM ЕД СРЕД ТВОР	23	data/treex/000_orig/train//003#161:одним
NUM ЖЕН ВИН	1	data/treex/000_orig/train//047#441:полторы
NUM ЖЕН ВИН НЕОД	69	data/treex/000_orig/train//001#117:обе
NUM ЖЕН ВИН ОД	1	data/treex/000_orig/train//066#333:двух
NUM ЖЕН ДАТ	3	data/treex/000_orig/train//019#398:обеим
NUM ЖЕН ИМ	83	data/treex/000_orig/train//001#31:две
NUM ЖЕН ПР	1	data/treex/000_orig/train//026#483:обеих
NUM ЖЕН РОД	6	data/treex/000_orig/train//001#110:обеих
NUM ЖЕН ТВОР	4	data/treex/000_orig/train//034#194:обеими
NUM ИМ	559	data/treex/000_orig/train//001#28:несколько
NUM МН ВИН	1	data/treex/000_orig/train//010#83:50-е
NUM МН ВИН НЕОД	2	data/treex/000_orig/train//024#46:одни
NUM МН ИМ	1	data/treex/000_orig/train//039#316:Одни
NUM МН РОД	8	data/treex/000_orig/train//041#116:90-х
NUM МН ТВОР	2	data/treex/000_orig/train//001#83:одними
NUM МУЖ ВИН	23	data/treex/000_orig/train//005#4:полтора
NUM МУЖ ВИН НЕОД	147	data/treex/000_orig/train//001#22:два
NUM МУЖ ВИН ОД	12	data/treex/000_orig/train//005#75:обоих
NUM МУЖ ДАТ	7	data/treex/000_orig/train//006#87:обоим
NUM МУЖ ИМ	139	data/treex/000_orig/train//001#46:два
NUM МУЖ ПР	2	data/treex/000_orig/train//006#157:обоих
NUM МУЖ РОД	8	data/treex/000_orig/train//009#205:обоих
NUM МУЖ ТВОР	2	data/treex/000_orig/train//022#392:обоими
NUM ПР	79	data/treex/000_orig/train//001#381:двух
NUM РОД	452	data/treex/000_orig/train//001#422:десяти
NUM СЛ	35	data/treex/000_orig/train//009#198:пол
NUM СРЕД ВИН	13	data/treex/000_orig/train//006#307:два
NUM СРЕД ИМ	29	data/treex/000_orig/train//001#109:два
NUM СРЕД ПР	1	data/treex/000_orig/train//061#309:обоих
NUM ТВОР	78	data/treex/000_orig/train//003#122:двумя
P	82	data/treex/000_orig/train//001#206:Да
PART	19701	data/treex/000_orig/train//001#1:уже
PART МЕТА	4	data/treex/000_orig/train//006#328:тоже
PART НЕПРАВ	1	data/treex/000_orig/train//003#291:не
PR	56892	data/treex/000_orig/train//001#1:в
S	94	data/treex/000_orig/train//004#461:Bankengruppe
S ВИН ОД	1	data/treex/000_orig/train//034#112:себя
S ЕД	2	data/treex/000_orig/train//035#143:Roderick
S ЕД ЖЕН ВИН	135	data/treex/000_orig/train//001#38:которую
S ЕД ЖЕН ВИН НЕОД	7918	data/treex/000_orig/train//001#13:типографию
S ЕД ЖЕН ВИН НЕОД МЕТА	1	data/treex/000_orig/train//023#390:программу
S ЕД ЖЕН ВИН НЕОД НЕСТАНД	1	data/treex/000_orig/train//006#274:я-му
S ЕД ЖЕН ВИН ОД	637	data/treex/000_orig/train//001#10:меня
S ЕД ЖЕН ДАТ	23	data/treex/000_orig/train//001#100:которой
S ЕД ЖЕН ДАТ НЕОД	1952	data/treex/000_orig/train//001#1:болезни
S ЕД ЖЕН ДАТ ОД	348	data/treex/000_orig/train//001#6:матери
S ЕД ЖЕН ИМ	275	data/treex/000_orig/train//001#54:которая
S ЕД ЖЕН ИМ НЕОД	9177	data/treex/000_orig/train//001#9:неделя
S ЕД ЖЕН ИМ НЕОД НЕПРАВ	2	data/treex/000_orig/train//026#269:кала
S ЕД ЖЕН ИМ ОД	2527	data/treex/000_orig/train//001#6:англичанка
S ЕД ЖЕН ИМ ОД НЕСТАНД	1	data/treex/000_orig/train//015#343:пролетария
S ЕД ЖЕН МЕСТН НЕОД	4	data/treex/000_orig/train//003#417:цепи
S ЕД ЖЕН ПАРТ НЕОД	1	data/treex/000_orig/train//030#20:непознанности
S ЕД ЖЕН ПР	77	data/treex/000_orig/train//001#421:которой
S ЕД ЖЕН ПР НЕОД	5356	data/treex/000_orig/train//001#1:отставке
S ЕД ЖЕН ПР ОД	133	data/treex/000_orig/train//001#5:Екатерине
S ЕД ЖЕН РОД	97	data/treex/000_orig/train//001#13:которой
S ЕД ЖЕН РОД НЕОД	14139	data/treex/000_orig/train//001#5:судьбы
S ЕД ЖЕН РОД НЕОД МЕТА	1	data/treex/000_orig/train//059#211:ненависти
S ЕД ЖЕН РОД НЕОД НЕСТАНД	1	data/treex/000_orig/train//012#305:полтыщи
S ЕД ЖЕН РОД ОД	1118	data/treex/000_orig/train//001#8:ее
S ЕД ЖЕН РОД ОД НЕСТАНД	1	data/treex/000_orig/train//012#349:Городецкой
S ЕД ЖЕН ТВОР	21	data/treex/000_orig/train//004#437:которой
S ЕД ЖЕН ТВОР НЕОД	3182	data/treex/000_orig/train//001#12:посудой
S ЕД ЖЕН ТВОР ОД	265	data/treex/000_orig/train//001#67:собой
S ЕД МУЖ ВИН НЕОД	7169	data/treex/000_orig/train//001#1:чин
S ЕД МУЖ ВИН ОД	2149	data/treex/000_orig/train//001#1:его
S ЕД МУЖ ДАТ	42	data/treex/000_orig/train//002#145:которому
S ЕД МУЖ ДАТ НЕОД	1633	data/treex/000_orig/train//001#57:выводу
S ЕД МУЖ ДАТ ОД	1986	data/treex/000_orig/train//001#2:Ему
S ЕД МУЖ ДАТ ОД НЕСТАНД	1	data/treex/000_orig/train//004#33:Ищенке
S ЕД МУЖ ЗВ ОД	11	data/treex/000_orig/train//005#51:Господи
S ЕД МУЖ ИМ	360	data/treex/000_orig/train//001#36:который
S ЕД МУЖ ИМ НЕОД	8305	data/treex/000_orig/train//001#27:круг
S ЕД МУЖ ИМ НЕОД МЕТА	3	data/treex/000_orig/train//023#390:план
S ЕД МУЖ ИМ НЕОД НЕСТАНД	1	data/treex/000_orig/train//006#440:галстух
S ЕД МУЖ ИМ ОД	13418	data/treex/000_orig/train//001#1:он
S ЕД МУЖ ИМ ОД МЕТА	1	data/treex/000_orig/train//011#440:Эхнатон
S ЕД МУЖ ИМ ОД НЕСТАНД	3	data/treex/000_orig/train//002#91:с-волочь
S ЕД МУЖ МЕСТН НЕОД	691	data/treex/000_orig/train//001#13:году
S ЕД МУЖ НЕОД	10	data/treex/000_orig/train//001#449:Аздарар
S ЕД МУЖ ОД	4	data/treex/000_orig/train//018#182:Сеймур
S ЕД МУЖ ПАРТ НЕОД	55	data/treex/000_orig/train//002#143:народу
S ЕД МУЖ ПР	88	data/treex/000_orig/train//003#241:котором
S ЕД МУЖ ПР НЕОД	5229	data/treex/000_orig/train//001#1:ноябре
S ЕД МУЖ ПР ОД	311	data/treex/000_orig/train//001#18:нем
S ЕД МУЖ РОД	128	data/treex/000_orig/train//001#61:которого
S ЕД МУЖ РОД НЕОД	12534	data/treex/000_orig/train//001#1:мая
S ЕД МУЖ РОД ОД	5932	data/treex/000_orig/train//001#1:капитан-командора
S ЕД МУЖ РОД ОД НЕСТАНД	1	data/treex/000_orig/train//061#62:фанта
S ЕД МУЖ ТВОР	32	data/treex/000_orig/train//001#43:которым
S ЕД МУЖ ТВОР НЕОД	2897	data/treex/000_orig/train//001#6:обликом
S ЕД МУЖ ТВОР ОД	1746	data/treex/000_orig/train//001#10:ним
S ЕД МУЖ ТВОР ОД НЕСТАНД	2	data/treex/000_orig/train//004#64:мно-ой
S ЕД СРЕД ВИН	33	data/treex/000_orig/train//003#285:которое
S ЕД СРЕД ВИН НЕОД	5635	data/treex/000_orig/train//001#1:прошение
S ЕД СРЕД ВИН НЕОД МЕТА	3	data/treex/000_orig/train//030#300:спасибо
S ЕД СРЕД ВИН ОД	36	data/treex/000_orig/train//003#396:его
S ЕД СРЕД ДАТ	5	data/treex/000_orig/train//005#312:которому
S ЕД СРЕД ДАТ НЕОД	1918	data/treex/000_orig/train//001#52:месту
S ЕД СРЕД ДАТ НЕОД НЕСТАНД	1	data/treex/000_orig/train//054#219:благословлению
S ЕД СРЕД ДАТ ОД	10	data/treex/000_orig/train//008#150:нему
S ЕД СРЕД ИМ	90	data/treex/000_orig/train//003#117:которое
S ЕД СРЕД ИМ НЕОД	8498	data/treex/000_orig/train//001#10:что
S ЕД СРЕД ИМ ОД	179	data/treex/000_orig/train//002#196:оно
S ЕД СРЕД НЕОД	6	data/treex/000_orig/train//006#97:Все
S ЕД СРЕД ПР	28	data/treex/000_orig/train//001#132:котором
S ЕД СРЕД ПР НЕОД	4161	data/treex/000_orig/train//001#19:чтении
S ЕД СРЕД ПР НЕОД НЕПРАВ	1	data/treex/000_orig/train//054#214:нарастании
S ЕД СРЕД ПР ОД	33	data/treex/000_orig/train//001#63:животном
S ЕД СРЕД РОД	25	data/treex/000_orig/train//005#160:которого
S ЕД СРЕД РОД НЕОД	9824	data/treex/000_orig/train//001#7:ничего
S ЕД СРЕД РОД ОД	46	data/treex/000_orig/train//004#234:его
S ЕД СРЕД ТВОР	7	data/treex/000_orig/train//009#497:которым
S ЕД СРЕД ТВОР НЕОД	2279	data/treex/000_orig/train//001#18:обществом
S ЕД СРЕД ТВОР ОД	21	data/treex/000_orig/train//003#188:собой
S ЖЕН НЕОД СЛ	5	data/treex/000_orig/train//020#245:СВЧ
S МН ВИН НЕОД	212	data/treex/000_orig/train//001#103:которые
S МН ВИН ОД	665	data/treex/000_orig/train//001#23:их
S МН ДАТ	44	data/treex/000_orig/train//001#378:которым
S МН ДАТ НЕОД	127	data/treex/000_orig/train//001#431:данным
S МН ДАТ ОД	627	data/treex/000_orig/train//001#70:нам
S МН ЖЕН ВИН НЕОД	2320	data/treex/000_orig/train//001#10:ночи
S МН ЖЕН ВИН ОД	48	data/treex/000_orig/train//002#146:особ
S МН ЖЕН ДАТ НЕОД	508	data/treex/000_orig/train//001#18:меркам
S МН ЖЕН ДАТ ОД	33	data/treex/000_orig/train//002#85:балеринам
S МН ЖЕН ИМ НЕОД	2742	data/treex/000_orig/train//001#10:реки
S МН ЖЕН ИМ НЕОД МЕТА	1	data/treex/000_orig/train//023#390:меры
S МН ЖЕН ИМ ОД	201	data/treex/000_orig/train//002#115:Балерины
S МН ЖЕН НЕОД	1	data/treex/000_orig/train//006#425:створки
S МН ЖЕН ПР НЕОД	1179	data/treex/000_orig/train//001#44:экспедициях
S МН ЖЕН ПР ОД	19	data/treex/000_orig/train//010#72:лошадях
S МН ЖЕН РОД НЕОД	5106	data/treex/000_orig/train//001#14:мануфактур
S МН ЖЕН РОД ОД	195	data/treex/000_orig/train//001#22:девочек
S МН ЖЕН ТВОР НЕОД	916	data/treex/000_orig/train//001#71:позициями
S МН ЖЕН ТВОР ОД	43	data/treex/000_orig/train//002#440:кинозвездами
S МН ИМ	501	data/treex/000_orig/train//001#72:которые
S МН ИМ НЕОД	82	data/treex/000_orig/train//001#356:Все
S МН ИМ ОД	2726	data/treex/000_orig/train//001#17:они
S МН МУЖ ВИН НЕОД	2655	data/treex/000_orig/train//001#12:дома
S МН МУЖ ВИН ОД	741	data/treex/000_orig/train//001#72:людей
S МН МУЖ ДАТ НЕОД	655	data/treex/000_orig/train//001#21:вторникам
S МН МУЖ ДАТ ОД	699	data/treex/000_orig/train//001#411:абонентам
S МН МУЖ ИМ НЕОД	2850	data/treex/000_orig/train//001#13:журналы
S МН МУЖ ИМ ОД	3348	data/treex/000_orig/train//001#4:АНГЛИЧАНЕ
S МН МУЖ ИМ ОД НЕСТАНД	2	data/treex/000_orig/train//002#404:кр-ретины
S МН МУЖ МЕСТН НЕОД	1	data/treex/000_orig/train//033#125:г
S МН МУЖ НЕОД	3	data/treex/000_orig/train//042#227:ГСМ
S МН МУЖ ОД	1	data/treex/000_orig/train//023#177:все
S МН МУЖ ПР НЕОД	1418	data/treex/000_orig/train//001#21:обедах
S МН МУЖ ПР ОД	99	data/treex/000_orig/train//003#414:немцах
S МН МУЖ РОД НЕОД	6691	data/treex/000_orig/train//001#2:лет
S МН МУЖ РОД НЕОД НЕСТАНД	1	data/treex/000_orig/train//003#470:Взвода
S МН МУЖ РОД ОД	3876	data/treex/000_orig/train//001#11:купцов
S МН МУЖ РОД ОД НЕСТАНД	2	data/treex/000_orig/train//012#355:шаромыжек
S МН МУЖ ТВОР НЕОД	1133	data/treex/000_orig/train//001#14:остатками
S МН МУЖ ТВОР ОД	784	data/treex/000_orig/train//001#27:воспитателями
S МН ПР	69	data/treex/000_orig/train//001#381:которых
S МН ПР НЕОД	74	data/treex/000_orig/train//001#428:США
S МН ПР ОД	105	data/treex/000_orig/train//003#185:них
S МН РОД	206	data/treex/000_orig/train//001#463:которых
S МН РОД НЕОД	261	data/treex/000_orig/train//001#481:США
S МН РОД ОД	1599	data/treex/000_orig/train//001#6:Их
S МН СРЕД ВИН НЕОД	1307	data/treex/000_orig/train//001#70:отношения
S МН СРЕД ВИН ОД	18	data/treex/000_orig/train//005#451:животных
S МН СРЕД ДАТ НЕОД	589	data/treex/000_orig/train//001#32:письмам
S МН СРЕД ДАТ ОД	17	data/treex/000_orig/train//004#428:лицам
S МН СРЕД ИМ НЕОД	1423	data/treex/000_orig/train//001#5:скрещенья
S МН СРЕД ИМ ОД	72	data/treex/000_orig/train//001#276:Ребята
S МН СРЕД НЕОД	1	data/treex/000_orig/train//002#46:ИТ
S МН СРЕД ПР НЕОД	629	data/treex/000_orig/train//001#15:средствах
S МН СРЕД ПР ОД	4	data/treex/000_orig/train//012#335:животных
S МН СРЕД РОД НЕОД	2585	data/treex/000_orig/train//001#8:писем
S МН СРЕД РОД ОД	72	data/treex/000_orig/train//004#59:ребят
S МН СРЕД ТВОР НЕОД	512	data/treex/000_orig/train//001#58:правилами
S МН СРЕД ТВОР ОД	11	data/treex/000_orig/train//005#448:существами
S МН ТВОР	45	data/treex/000_orig/train//005#238:которыми
S МН ТВОР НЕОД	33	data/treex/000_orig/train//001#427:США
S МН ТВОР ОД	196	data/treex/000_orig/train//001#38:ними
S МУЖ НЕОД	291	data/treex/000_orig/train//001#492:%
S МУЖ НЕОД СЛ	39	data/treex/000_orig/train//003#173:Северо
S РОД	1	data/treex/000_orig/train//048#469:#Fantom
S СРЕД НЕОД СЛ	14	data/treex/000_orig/train//002#47:ИТ
V	25	data/treex/000_orig/train//001#416:не
V ИЗЪЯВ ПРОШ ЕД 3-Л	1	data/treex/000_orig/train//056#42:#Fantom
V НЕСОВ ДЕЕПР НЕПРОШ	1625	data/treex/000_orig/train//001#32:Судя
V НЕСОВ ДЕЕПР ПРОШ	12	data/treex/000_orig/train//005#465:Исследовав
V НЕСОВ ИЗЪЯВ НАСТ ЕД 2-Л	1	data/treex/000_orig/train//003#75:есть
V НЕСОВ ИЗЪЯВ НАСТ ЕД 3-Л	410	data/treex/000_orig/train//001#29:Есть
V НЕСОВ ИЗЪЯВ НАСТ МН 1-Л	1	data/treex/000_orig/train//046#276:есть
V НЕСОВ ИЗЪЯВ НАСТ МН 2-Л	1	data/treex/000_orig/train//010#111:есть
V НЕСОВ ИЗЪЯВ НАСТ МН 3-Л	148	data/treex/000_orig/train//004#476:есть
V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л	587	data/treex/000_orig/train//001#10:могу
V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л МЕТА	1	data/treex/000_orig/train//057#188:ухожу
V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л	190	data/treex/000_orig/train//002#182:получаешь
V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л	10223	data/treex/000_orig/train//001#1:подает
V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л НЕСТАНД	1	data/treex/000_orig/train//002#91:с-стоит
V НЕСОВ ИЗЪЯВ НЕПРОШ МН 1-Л	611	data/treex/000_orig/train//001#55:принадлежим
V НЕСОВ ИЗЪЯВ НЕПРОШ МН 2-Л	280	data/treex/000_orig/train//001#226:знаете
V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л	5139	data/treex/000_orig/train//001#1:производят
V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л МЕТА	2	data/treex/000_orig/train//023#390:будут
V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л НЕСТАНД	1	data/treex/000_orig/train//003#347:имут
V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН	1922	data/treex/000_orig/train//001#14:управляла
V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ	4153	data/treex/000_orig/train//001#17:учился
V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД	2326	data/treex/000_orig/train//001#18:было
V НЕСОВ ИЗЪЯВ ПРОШ МН	3386	data/treex/000_orig/train//001#12:снабжали
V НЕСОВ ИНФ	6340	data/treex/000_orig/train//001#10:спать
V НЕСОВ ПОВ ЕД 2-Л	197	data/treex/000_orig/train//001#188:бери
V НЕСОВ ПОВ МН 1-Л	1	data/treex/000_orig/train//026#28:Пройдемте
V НЕСОВ ПОВ МН 2-Л	91	data/treex/000_orig/train//001#119:Садитесь
V НЕСОВ ПОВ МН 2-Л МЕТА	1	data/treex/000_orig/train//030#300:здравствуйте
V НЕСОВ ПОВ МН 2-Л НЕПРАВ	1	data/treex/000_orig/train//030#27:хочете
V НЕСОВ ПОВ МН 2-Л НЕСТАНД	2	data/treex/000_orig/train//015#163:Здрасте
V НЕСОВ ПРИЧ НЕПРОШ ЕД ЖЕН ВИН	88	data/treex/000_orig/train//002#26:предусматривающую
V НЕСОВ ПРИЧ НЕПРОШ ЕД ЖЕН ДАТ	18	data/treex/000_orig/train//012#418:стелющейся
V НЕСОВ ПРИЧ НЕПРОШ ЕД ЖЕН ИМ	143	data/treex/000_orig/train//001#106:пишущая
V НЕСОВ ПРИЧ НЕПРОШ ЕД ЖЕН ПР	24	data/treex/000_orig/train//005#90:исчезающей
V НЕСОВ ПРИЧ НЕПРОШ ЕД ЖЕН РОД	112	data/treex/000_orig/train//001#433:проходящей
V НЕСОВ ПРИЧ НЕПРОШ ЕД ЖЕН ТВОР	55	data/treex/000_orig/train//001#91:обескураживающей
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ ВИН НЕОД	94	data/treex/000_orig/train//001#377:скрипящий
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ ВИН ОД	15	data/treex/000_orig/train//001#370:пользующегося
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ ДАТ	20	data/treex/000_orig/train//001#28:начинающему
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ ИМ	240	data/treex/000_orig/train//002#57:занимающийся
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ ПР	31	data/treex/000_orig/train//004#214:сверкающем
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ РОД	124	data/treex/000_orig/train//001#62:предполагающего
V НЕСОВ ПРИЧ НЕПРОШ ЕД МУЖ ТВОР	79	data/treex/000_orig/train//001#76:позволяющим
V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД ВИН	51	data/treex/000_orig/train//001#72:преобладающее
V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД ДАТ	8	data/treex/000_orig/train//008#272:нарастающему
V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД ИМ	66	data/treex/000_orig/train//003#15:сверкающее
V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД ПР	16	data/treex/000_orig/train//004#268:мутнеющем
V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД РОД	54	data/treex/000_orig/train//003#153:стреляющего
V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД ТВОР	16	data/treex/000_orig/train//012#269:препятствующим
V НЕСОВ ПРИЧ НЕПРОШ МН ВИН НЕОД	147	data/treex/000_orig/train//001#377:шелушащиеся
V НЕСОВ ПРИЧ НЕПРОШ МН ВИН ОД	31	data/treex/000_orig/train//001#104:желающих
V НЕСОВ ПРИЧ НЕПРОШ МН ДАТ	59	data/treex/000_orig/train//001#32:находящимся
