	ar	bg-ud11	bn	ca	cs	da-ud11	de	de-ud11	el-ud11	en	en-ud11	es	es-ud11	et	eu-ud11	fa	fa-ud11	fi-ud11	fi-ud11ftb	fr-ud11	ga-ud11	grc	he-ud11	hi	hr-ud11	hu-ud11	id-ud11	it-ud11	ja	la	la-it	nl	pl	pt	ro	ru	sk	sl	sv-ud11	ta	te	tr	
Hyph=Yes					398		1074																										39	641		765	3375						
Mood=Cnd		112		690	8908							843		11	123			1281	1602							101		526	1153					341			12564	274		28		150	
Mood=Des																																										137	
Mood=Imp	52	197		75	961	168	135		18		1574	311		2	40	877	157	362	864			2334	52	14	10	106		231	98	268	39	160	182	7		548	3666	28	192	1		420	
Mood=Ind	8070	14474		34872	83622	10010	47254		6222		19102	39131		1429	7778	18990		19288	22026			29094		13365		2196		17029	21430	5821	27185	18960	10944	14454		47619	106602	3643	10010	718			
Mood=Jus	665																																										
Mood=Nec																																										58	
Mood=Opt																			4			1976																				141	
Mood=Pot															171			45	126																								
Mood=Qot														2																													
Mood=Sub	1315			2624			8064					2872			43	4481	2410					2634		563				1109		1313	5567	33		983					16				
NameType=Com					13643																								697														
NameType=Com,Geo					63																																						
NameType=Com,Giv					35																																						
NameType=Com,Giv,Sur					1																																						
NameType=Com,Nat					5																																						
NameType=Com,Oth					8																																						
NameType=Com,Pro					36																																						
NameType=Com,Pro,Sur					1																																						
NameType=Com,Sur					54																																						
NameType=Geo					27256																								2525														
NameType=Geo,Giv					34																																						
NameType=Geo,Giv,Sur					53																																						
NameType=Geo,Oth					2																																						
NameType=Geo,Pro					6																																						
NameType=Geo,Sur					252																																						
NameType=Giv					15389																																						
NameType=Giv,Nat					3																																						
NameType=Giv,Oth					5																																						
NameType=Giv,Pro					1																																						
NameType=Giv,Pro,Sur					1																																						
NameType=Giv,Sur					167																																						
NameType=Nat					2296									2																													
NameType=Nat,Sur					7																																						
NameType=Oth					813																																						
NameType=Oth,Sur					1																																						
NameType=Pro					2244																																						
NameType=Pro,Sur					25																																						
NameType=Prs																													1189														
NameType=Sur					26536																																						
Negative=Neg	25	22	7	2838	22505		4368					3616		59	861		324						987	2075	539				419				24				25148	325		35	1	1092	
Negative=Pos					811467									1413	159								1495		2								2053				269379	3177		2294		10824	
NounType=Class																																									6		
NumForm=Digit	5521			5896	29484							5378		29																	614						18462	28		149		24	
NumForm=Roman					376																																						
NumForm=Word	2235				11308									106																								350					
NumType=Card		2106	12	2670	43014	1491	12057	7637	952	16582	4913	2882	11888	104	1716		3241	4582	2250	9942	321		3309	5777	1184	436	4386	4568	2353			4241		6959				326	1741	122	20	787	
NumType=Dist																										4																11	
NumType=Frac				987	342							771														36																	
NumType=Gen					62																				52													2					
NumType=Mult					536						77														6													1					
NumType=Ord		711	1	1582	5219	149				22	222	1960		33	511			1065	307					486	602	112		891				548		791				49		52	3	63	
NumType=Range																																										3	
NumType=Sets					39																																						
NumValue=1	32				30																																						
NumValue=1,2,3					8050																																						
NumValue=2	29																																										
NumValue=3	519																																										
Number=Dual	1501				136																	1475	86															293					
Number=Dual,Plur																							6																				
Number=Plur	24717	18660	184	68073	231142	9289	101724		12304	29677	15303	71568		857	3343	20384	8644	23687	18415			49004	18308	25108	14327	2000		40710		10418	26277	13809	13213	33163		96373	240273	4165	12084	909	1012	4783	
Number=Plur,Sing					13684																		152									1278											
Number=Ptan		261																																									
Number=Sing	132631	49817	2643	185607	589286	26862	309633		27109	117045	70451	197881		5186	12133	81232	14894	93128	79893			123767	48987	155301	41685	12932		104843		23573	119858	61603	34907	93800		234676	801139	14191	27165	4395	3323	28679	
Number[abs]=Plur															1885																												
Number[abs]=Sing															6270																												
Number[dat]=Plur															188																												
Number[dat]=Sing															550																												
Number[erg]=Plur															1460																												
Number[erg]=Sing															2870																												
Number[psor]=Dual																																						9					
Number[psor]=Plur				180	4582	194						262						307	258							142								130				36				1020	
Number[psor]=Sing				91	4833	614						247						823	807							1547								1158				153				7529	
PartType=Inf						3038	3647			10598																						1779											
PartType=Mod																217																											
PartType=Res							69																																				
PartType=Vbp							4010																									1504											
Person=1	236	2539	134	2153	16977	1442	3338		1246		8314	3739		268	14	5810		3400	5175			5000	890	765	490	244		1606		1167	760	3337	1910	1396		1780	59814	241		68	190	2271	
Person=1,2,3			198																				4704																		679		
Person=1,3																																		49									
Person=2	293	1162	177	130	2786	267	353		188		3606	461		25	4	3477		874	2607			4888	246	181	54	6		688		906	95	652	544	36		1198	12873	313		12	106	998	
Person=3	30992	14690	87	46519	88824	3889	67383		7581	10588	14249	51454		1366	1	20263		17828	20421			26150	14853	136888	8576	3154		21055		5336	31941	12895	4941	18710		19669	188047	4121		5224	1128	30193	
Person[abs]=1															286																												
Person[abs]=2															74																												
Person[abs]=3															7795																												
Person[dat]=1															151																												
Person[dat]=2															36																												
Person[dat]=3															551																												
Person[erg]=1															704																												
Person[erg]=2															157																												
Person[erg]=3															3469																												
Person[psor]=1																		1006	811							102																1052	
Person[psor]=2																		124	254																							326	
Person[psor]=3																		2167	2465							1586																7171	
Polite=Inf															62									14																			
Polite=Pol				29		31						54												4934					419											798			
Polite[abs]=Inf															16																												
Polite[dat]=Inf															4																												
Polite[erg]=Inf															15																												
Poss=Yes		1532		3173	17007	813	5450			8235	3654	5453		101										2294	454			1783				1586		1292	679			343	703				
PrepCase=Npr					949																												970										
PrepCase=Pre				14	3977							129																					281	190									
PronType=Art				48989			89937				16363	61454										2458	16531			3097		39589				21403		29307	1414								
PronType=Dem	2049	1548	2	3995	21274	2324	8770		599		3192	3569		80		3703		4535	6587				1198	3819	926	668		1808	5648			4675		1573	80			502			2	369	
PronType=Dem,Ind					1772																																						
PronType=Exc																22												6															
PronType=Ind		422	15	14077	3473	3343			293			6082						2283					30	2024	1612	213		2348				5010		133				413		8	41		
PronType=Ind,Neg														60																													
PronType=Ind,Neg,Tot							8840									1268																		2871									
PronType=Int		376	85	347			2277		19		1792	476		8	105	295	343	347	1148				407	277		62		1845	1534			2185		227				66		6	88	489	
PronType=Int,Rel					14326	186				4317																													1401				
PronType=Neg		150	7		1846																			2075		327		1904										81			1		
PronType=Prs	9991	6935	748	7899	50558	5598	21146		890	12332	18621	9429		330	335	6824		2531	5294				5890	11811	337	203		2478	1233			7054	1868	4031	574		233310	1806		222	449	1405	
PronType=Rcp						38								1				171	83							10						66		4								189	
PronType=Rel	2513	1038		8816	3608		5341		974		1395	9690		29				1858	1116							288		3009				2623		3781				158					
PronType=Tot		319			3504									15												82												219					
PunctSide=Fin				1936						4068		2272																				620											
PunctSide=Ini				1850						4151		2145																				626											
PunctType=Brck				3399			24195			1353		3651																				1246											
PunctType=Colo				547								770																				551											
PunctType=Comm				26653			35482			22886		30306		1															510			6637								400			
PunctType=Dash				938								2910																															
PunctType=Excl				30								126		2																		116											
PunctType=Peri				16453			36248			18664		17531		1117															17580			8766								600			
PunctType=Qest				337								640		1															156			2535											
PunctType=Quot				4305						6866		9180																				2359											
PunctType=Semi				424								305																				110											
Reflex=Yes		3221			30669	633	4657				121			51		1219		165	336				163		1445	28		168				977	164	1342	574		59766	802		16		188	
Style=Arch					696	1												2																									
Style=Coll					127													1204																									
Style=Form						35																																					
Subcat=Intr																																6964											
Subcat=Tran																																12217											
Tense=Aor																						20950																				1094	
Tense=Aor,Nar																																										22	
Tense=Aor,Past																																										135	
Tense=Fut				3720	5108							2779				1008						2556	1460	2006				591	419	557	775		239	974			4631	141		356		654	
Tense=Fut,Nar																																										2	
Tense=Fut,Past																																										32	
Tense=Fut,Pres																													19485							26171							
Tense=Imp		854		3139								4169		1080								7961						1671		1151	1359			1333									
Tense=Imp,Pqp																																		361									
Tense=Nar																2291																										760	
Tense=Nar,Past																																										257	
Tense=Past		4498		7531	57002	5184	33135		1822	22885	11337	17551		52		7670	5281	6811	7684			2868	6450	2193	384	1135		10222	1553	3347	6065	12249	5440	4172		33970	150455	3349	2146	518		3969	
Tense=Past,Pres																																		3									
Tense=Pqp																1156						603								339	78			67									
Tense=Pres		10559		30590	83154	7238	37576		3179	23916	13747	22744		363		11346	6457	12477	14342			18394		9166	7727	1268		15671		5781	38163	13277	5744	8528		561	101971	3530	8976	123		1747	
Typo=Yes																		346																38		30	2257						
Variant=Long						6413																											1663					154					
Variant=Short					29070		15189									144																2752	4902			8157		1656					
VerbForm=Fin	10102	16882		38261	93491	10178	55434			30227	24728	43157		1444		24348		23171				36038		13942		2374		18895	24887	7402	32791	19145	11126	15787	4043	48167	110268	3945	10218	747			
VerbForm=Gdv																														140	687												
VerbForm=Ger				1193		18					2964	1406		14														727		17	879		671	854						210			
VerbForm=Inf				16917	26268	3004	14963		233	23554	10151	11977		49	1303			5037	5490			5196	2599	6657	1639	219		5822		1411	5548	5913	1360	5008	12	12946	84954	382	3492	476		1706	
VerbForm=Inf,Trans																																			551								
VerbForm=Part		1335		13085	71005	476	15469		215	16574	5982	11764		114	5953		2586	7031	5165			12114	5149	21588	4489			9257		2210	8101	6567	1405	4656	60	10731	176118	3519	1096	882		2525	
VerbForm=Part,Trans						1934																																					
VerbForm=Sup														100																								6	901				
VerbForm=Trans					163	2																		938					3881				190			2352	616					945	
VerbType=Aux,Cop																																5737											
VerbType=Cop																							1815						10948									1047				425	
VerbType=Light																													2092														
VerbType=Mod							7430			3404				1		627							843									3912						143					
Voice=Act	20311	16211			145264	12530			4377							21664		29151	34639			37385		19773		2581				8582	33745		289				4247	3349	12315	1616			
Voice=Cau															106											41																880	
Voice=Mid																						5223																					
Voice=Mid,Pass																						8518																					
Voice=Pass	1219	1697			9526	484			2311		1413					2056		4698	3455			1431		1978						2602	14261		1116			8880	21427	170	1779	155		1277	
Voice=Rcp																																										38	
Abbr	1				1	1								1				1	1												1						1	1					
AdjType										1																																	
AdpType	1		1	2	3	1	3					2		2		2		2				1		1					1	1	1	3	1	1	1	1	3	2		1	1	1	
AdvType				1						1		1												1					2			1									1		
Animacy		1			2										2	2									2								3			2	2	2		1			
Aspect	2	2			2		2			2					4	2						2		2						2	2	1	2			2	2					1	
Case	3	4	2	3	7	3	4		5		2	3		15	15	1	3	15	16			5	3	7	7	22			3	7	7	4	7	3		9	7	6	3	7	2	8	
ConjType					1		1																																				
Definite	4	2		2		2			2		2	2			2								1		2	2		2				2		2	2				2				
Degree		1			3	4	3		2	3	2			2	1	3	1	2	1			2			2	2		1		2	3	3	3	2		2	3	3	2				
Echo			1																					1																	2	1	
Foreign	1				1	1	1			1								2						1								1					1						
Gender	2	3		2	3	2	3		3		3	2			2							3	2	3	3			2		3	3	2	3	2	1	3	3	3	3	3	3		
Gender[dat]															1																												
Gender[erg]															2																												
Gender[psor]					3																																	3					
Hyph					1		1																										1	1		1	1						
Mood	4	3		4	3	2	3		2		2	4		4	5	3	2	4	5			4	1	3	1	3		4	3	3	3	3	2	4		2	3	3	3	3		5	
NameType					7									1															3														
Negative	1	1	1	1	2		1					1		2	2		1						2	1	2				1				2				2	2		2	1	2	
NounType																																									1		
NumForm	2			1	3							1		2																	1						1	2		1		1	
NumType		2	2	3	6	2	1	1	1	2	3	3	1	2	2		1	2	2	1	1		1	2	4	4	1	2	1			2		2				4	1	2	2	4	
NumValue	3				3																																						
Number	3	3	2	2	3	2	2		2	2	2	2		2	2	2	2	2	2			3	3	2	2	2		2		2	2	2	2	2		2	2	3	2	2	2	2	
Number[abs]															2																												
Number[dat]															2																												
Number[erg]															2																												
Number[psor]				2	2	2						2						2	2							2								2				3				2	
PartType						1	3			1						1																2											
Person	3	3	3	3	3	3	3		3	1	3	3		3	3	3		3	3			3	3	3	3	3		3		3	3	3	3	3		3	3	3		3	3	3	
Person[abs]															3																												
Person[dat]															3																												
Person[erg]															3																												
Person[psor]																		3	3							2																3	
Polite				1		1						1			1									2					1											1			
Polite[abs]															1																												
Polite[dat]															1																												
Polite[erg]															1																												
Poss		1		1	1	1	1			1	1	1		1										1	1			1				1		1	1			1	1				
PrepCase				1	2							1																					2	1									
PronType	3	7	5	6	7	6	8		5	3	5	6		8	2	7	1	6	5			1	5	5	3	9		8	3			7	1	9	3		1	7	2	3	5	4	
PunctSide				2						2		2																				2											
PunctType				9			3			4		9		4															3			8								2			
Reflex		1			1	1	1				1			1		1		1	1				1		1	1		1				1	1	1	1		1	1		1		1	
Style					2	2												2																									
Subcat																																2											
Tense		3		4	3	2	2		2	2	2	4		3		5	2	2	2			6	2	3	2	2		4	3	5	5	2	3	5		3	3	3	2	3		5	
Typo																		1																1		1	1						
Variant					1	1	1									1																1	2			1		2					
VerbForm	1	2		4	4	5	3		2	3	4	4		5	2	1	1	3	2			3	2	4	2	2		4	2	5	5	3	5	4	4	4	4	4	4	4		3	
VerbType							1			1				1		1							2						2			3						2				1	
Voice	2	2			2	2			2		1				1	2		2	2			3		2		2				2	2		2			1	2	2	2	2		3	
Abbr: 1 (ar,cs,da,et,fi,sk,sl), 
AdjType: 
AdpType: 3 (cs,de,nl,sk), 2 (ca,es,et,fi,sl), 1 (ar,bn,da,grc,hi,ja,la,pl,pt,ro,ru,ta,te,tr), 
AdvType: 2 (ja), 1 (ca,es,hi,nl,te), 
Animacy: 3 (pl), 2 (cs,eu,hr,ru,sk,sl), 1 (bg,ta), 
Aspect: 4 (eu), 2 (ar,bg,cs,de,grc,hi,la,pl,ru,sk), 1 (nl,tr), 
Case: 22 (hu), 15 (et,eu,fi), 9 (ru), 8 (tr), 7 (cs,hi,hr,la,pl,sk,ta), 6 (sl), 5 (el,grc), 4 (bg,de,nl), 3 (ar,ca,da,es,fa,he,ja,pt,sv), 2 (bn,en,te), 
ConjType: 1 (cs,de), 
Definite: 4 (ar), 2 (bg,ca,da,el,en,es,eu,hr,hu,it,nl,pt,ro,sv), 1 (he), 
Degree: 4 (da), 3 (cs,de,nl,pl,sk,sl), 2 (el,en,et,fi,grc,hr,hu,la,pt,ru,sv), 1 (bg,eu,fa,it), 
Echo: 2 (te), 1 (bn,hi,tr), 
Foreign: 2 (fi), 1 (ar,cs,da,de,hi,nl,sk), 
Gender: 3 (bg,cs,de,el,en,grc,hi,hr,la,pl,ru,sk,sl,sv,ta,te), 2 (ar,ca,da,es,eu,he,it,nl,pt), 1 (ro), 
Gender[dat]: 1 (eu), 
Gender[erg]: 2 (eu), 
Gender[psor]: 3 (cs,sl), 
Hyph: 1 (cs,de,pl,pt,ru,sk), 
Mood: 5 (eu,tr), 4 (ar,ca,es,et,fi,grc,it,pt), 3 (bg,cs,de,hi,hu,ja,la,nl,sk,sl,sv,ta), 2 (da,el,en,fa,pl,ru), 1 (he,hr), 
NameType: 7 (cs), 3 (ja), 1 (et), 
Negative: 2 (cs,et,eu,he,hr,pl,sk,sl,ta,tr), 1 (ar,bg,bn,ca,de,es,fa,hi,ja,te), 
NounType: 1 (te), 
NumForm: 3 (cs), 2 (ar,et,sl), 1 (ca,es,sk,ta,tr), 
NumType: 6 (cs), 4 (hr,hu,sl,tr), 3 (ca,en,es), 2 (bg,bn,da,et,eu,fi,hi,it,nl,pt,ta,te), 1 (de,el,fa,fr,ga,he,id,ja,sv), 
NumValue: 3 (ar,cs), 
Number: 3 (ar,bg,cs,grc,he,sl), 2 (bn,ca,da,de,el,en,es,et,eu,fa,fi,hi,hr,hu,it,la,nl,pl,pt,ru,sk,sv,ta,te,tr), 
Number[abs]: 2 (eu), 
Number[dat]: 2 (eu), 
Number[erg]: 2 (eu), 
Number[psor]: 3 (sl), 2 (ca,cs,da,es,fi,hu,pt,tr), 
PartType: 3 (de), 2 (nl), 1 (da), 
Person: 3 (ar,bg,bn,ca,cs,da,de,el,en,es,et,eu,fi,grc,he,hi,hr,hu,it,la,nl,pl,pt,ru,sk,sl,ta,te,tr), 
Person[abs]: 3 (eu), 
Person[dat]: 3 (eu), 
Person[erg]: 3 (eu), 
Person[psor]: 3 (fi,tr), 2 (hu), 
Polite: 2 (hi), 1 (ca,da,es,eu,ja,ta), 
Polite[abs]: 1 (eu), 
Polite[dat]: 1 (eu), 
Polite[erg]: 1 (eu), 
Poss: 1 (bg,ca,cs,da,de,en,es,et,hi,hr,it,nl,pt,ro,sl,sv), 
PrepCase: 2 (cs,pl), 1 (ca,es,pt), 
PronType: 9 (hu,pt), 8 (de,et,it), 7 (bg,cs,nl,sl), 6 (ca,da,es,fi), 5 (bn,el,en,he,hi,te), 4 (tr), 3 (ar,hr,ja,ro,ta), 2 (eu,sv), 1 (fa,grc,pl,sk), 
PunctSide: 2 (ca,es,nl), 
PunctType: 9 (ca,es), 8 (nl), 4 (et), 3 (de,ja), 2 (ta), 
Reflex: 1 (bg,cs,da,de,en,et,fi,he,hr,hu,it,nl,pl,pt,ro,sk,sl,ta,tr), 
Style: 2 (cs,da,fi), 
Subcat: 2 (nl), 
Tense: 6 (grc), 5 (la,pt,tr), 4 (ca,es,it), 3 (bg,cs,et,hi,ja,pl,ru,sk,sl,ta), 2 (da,de,el,en,fa,fi,he,hr,hu,nl,sv), 
Typo: 1 (fi,pt,ru,sk), 
Variant: 2 (pl,sl), 1 (cs,da,de,nl,ru), 
VerbForm: 5 (da,et,la,pl), 4 (ca,cs,en,es,hi,it,pt,ro,ru,sk,sl,sv,ta), 3 (de,fi,grc,nl,tr), 2 (bg,el,eu,he,hr,hu,ja), 1 (ar,fa), 
VerbType: 3 (nl), 2 (he,ja,sl), 1 (de,et,tr), 
Voice: 3 (grc,tr), 2 (ar,bg,cs,da,el,fi,hi,hu,la,pl,sk,sl,sv,ta), 1 (en,eu,ru), 
