PATB source	NYUADUDT division	Number of sentences in NYUADUDT	PATB file name (Document name in NYUADUDT)	PAUDT division	Number of Sentences in PAUDT	Document ID in PAUDT
ATB1	Dev	9	20000715_AFP_ARB.0062.txt	train	10	AFP_ARB_20000715.0062
ATB1	Dev	12	20000715_AFP_ARB.0061.txt	train	13	AFP_ARB_20000715.0061
ATB1	Dev	7	20000715_AFP_ARB.0060.txt	train	8	AFP_ARB_20000715.0060
ATB1	Dev	3	20000715_AFP_ARB.0055.txt	train	4	AFP_ARB_20000715.0055
ATB1	Dev	7	20000715_AFP_ARB.0052.txt	train	8	AFP_ARB_20000715.0052
ATB1	Dev	3	20000715_AFP_ARB.0053.txt	train	4	AFP_ARB_20000715.0053
ATB1	Dev	7	20000715_AFP_ARB.0059.txt	train	8	AFP_ARB_20000715.0059
ATB1	Dev	3	20000715_AFP_ARB.0056.txt	train	4	AFP_ARB_20000715.0056
ATB1	Dev	3	20000715_AFP_ARB.0057.txt	train	4	AFP_ARB_20000715.0057
ATB1	Dev	7	20000715_AFP_ARB.0070.txt	train	8	AFP_ARB_20000715.0070
ATB1	Dev	4	20000715_AFP_ARB.0073.txt	train	5	AFP_ARB_20000715.0073
ATB1	Train	4	20000915_AFP_ARB.0009.txt	train	5	AFP_ARB_20000915.0009
ATB1	Dev	3	20000715_AFP_ARB.0063.txt	train	4	AFP_ARB_20000715.0063
ATB1	Dev	3	20000715_AFP_ARB.0064.txt	train	4	AFP_ARB_20000715.0064
ATB1	Dev	1	20000715_AFP_ARB.0066.txt	train	2	AFP_ARB_20000715.0066
ATB1	Dev	6	20000715_AFP_ARB.0067.txt	train	7	AFP_ARB_20000715.0067
ATB1	Dev	4	20000715_AFP_ARB.0068.txt	train	5	AFP_ARB_20000715.0068
ATB1	Dev	2	20000715_AFP_ARB.0069.txt	train	3	AFP_ARB_20000715.0069
