Abbreviation	Abbreviation	_	Abbreviation	20	data/treex/000_orig/train/001#241:V-B
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=genitive	Adjective-possessive	5	data/treex/000_orig/train/001#171:Winstonovega
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=instrumental	Adjective-possessive	2	data/treex/000_orig/train/001#30:Winstonovim
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=locative	Adjective-possessive	1	data/treex/000_orig/train/001#389:ženinem
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=nominative	Adjective-possessive	10	data/treex/000_orig/train/001#209:O'Brienov
Adjective	Adjective-possessive	Degree=positive|Gender=neuter|Number=plural|Case=accusative	Adjective-possessive	1	data/treex/000_orig/test/001#306:sovražnikova
Adjective	Adjective-possessive	Degree=positive|Gender=neuter|Number=singular|Case=accusative	Adjective-possessive	4	data/treex/000_orig/train/001#218:Winstonovo
Adjective	Adjective-possessive	Degree=positive|Gender=neuter|Number=singular|Case=instrumental	Adjective-possessive	1	data/treex/000_orig/train/001#163:O'Brienovim
Adjective	Adjective-possessive	Degree=positive|Gender=neuter|Number=singular|Case=nominative	Adjective-possessive	3	data/treex/000_orig/train/001#63:riževo
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=plural|Case=accusative	Adjective-qualificative	2	data/treex/000_orig/train/003#283:boljše
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=plural|Case=instrumental	Adjective-qualificative	1	data/treex/000_orig/train/002#170:kasnejšimi
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=plural|Case=locative	Adjective-qualificative	1	data/treex/000_orig/train/003#110:revnejših
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=plural|Case=nominative	Adjective-qualificative	3	data/treex/000_orig/train/001#411:pomembnejše
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=singular|Case=accusative	Adjective-qualificative	3	data/treex/000_orig/train/002#320:močnejšo
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=singular|Case=dative	Adjective-qualificative	2	data/treex/000_orig/train/001#435:lažji
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=singular|Case=genitive	Adjective-qualificative	4	data/treex/000_orig/train/001#156:Ožje
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=singular|Case=instrumental	Adjective-qualificative	2	data/treex/000_orig/train/003#397:večjo
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=singular|Case=locative	Adjective-qualificative	3	data/treex/000_orig/train/001#73:daljši
Adjective	Adjective-qualificative	Degree=comparative|Gender=feminine|Number=singular|Case=nominative	Adjective-qualificative	5	data/treex/000_orig/train/001#321:starejša
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=plural|Case=accusative	Adjective-qualificative	2	data/treex/000_orig/train/002#381:ostrejše
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=plural|Case=genitive	Adjective-qualificative	1	data/treex/000_orig/train/003#464:lažjih
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=plural|Case=nominative	Adjective-qualificative	6	data/treex/000_orig/train/001#182:kasnejši
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=singular|Case=accusative|Animate=no	Adjective-qualificative	4	data/treex/000_orig/train/002#333:manjši
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=singular|Case=accusative|Animate=yes	Adjective-qualificative	1	data/treex/000_orig/train/002#321:močnejšega
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=singular|Case=genitive	Adjective-qualificative	1	data/treex/000_orig/test/001#289:starejšega
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=singular|Case=locative	Adjective-qualificative	1	data/treex/000_orig/train/001#326:hujšem
Adjective	Adjective-qualificative	Degree=comparative|Gender=masculine|Number=singular|Case=nominative	Adjective-qualificative	9	data/treex/000_orig/train/001#32:glasnejši
Adjective	Adjective-qualificative	Degree=comparative|Gender=neuter|Number=plural|Case=accusative	Adjective-qualificative	1	data/treex/000_orig/train/001#43:večja
Adjective	Adjective-qualificative	Degree=comparative|Gender=neuter|Number=singular|Case=accusative	Adjective-qualificative	1	data/treex/000_orig/train/003#242:Večje
Adjective	Adjective-qualificative	Degree=comparative|Gender=neuter|Number=singular|Case=locative	Adjective-qualificative	1	data/treex/000_orig/train/003#199:večjem
Adjective	Adjective-qualificative	Degree=comparative|Gender=neuter|Number=singular|Case=nominative	Adjective-qualificative	9	data/treex/000_orig/train/001#151:nevarnejše
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=dual|Case=accusative	Adjective-qualificative	2	data/treex/000_orig/train/002#260:nerabljeni
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=dual|Case=nominative	Adjective-qualificative	3	data/treex/000_orig/train/002#99:protislovni
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=plural|Case=accusative	Adjective-qualificative	36	data/treex/000_orig/train/001#24:temne
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=plural|Case=dative	Adjective-qualificative	2	data/treex/000_orig/train/002#220:mnogovrstnim
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=plural|Case=genitive	Adjective-qualificative	68	data/treex/000_orig/train/001#19:topih
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=plural|Case=instrumental	Adjective-qualificative	31	data/treex/000_orig/train/001#5:začrtanimi
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=plural|Case=locative	Adjective-qualificative	34	data/treex/000_orig/train/001#8:dnevnih
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=plural|Case=nominative	Adjective-qualificative	79	data/treex/000_orig/train/001#16:razumljive
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=singular|Case=accusative	Adjective-qualificative	101	data/treex/000_orig/train/001#2:zakopano
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=singular|Case=dative	Adjective-qualificative	14	data/treex/000_orig/train/001#66:solitrni
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=singular|Case=genitive	Adjective-qualificative	76	data/treex/000_orig/train/001#15:pravokotne
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=singular|Case=instrumental	Adjective-qualificative	52	data/treex/000_orig/train/001#5:ostro
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=singular|Case=locative	Adjective-qualificative	66	data/treex/000_orig/train/001#72:dnevni
Adjective	Adjective-qualificative	Degree=positive|Gender=feminine|Number=singular|Case=nominative	Adjective-qualificative	195	data/treex/000_orig/train/001#18:drobna
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=dual|Case=accusative	Adjective-qualificative	5	data/treex/000_orig/train/002#210:pripravna
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=dual|Case=genitive	Adjective-qualificative	3	data/treex/000_orig/train/001#429:ubitih
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=dual|Case=instrumental	Adjective-qualificative	1	data/treex/000_orig/test/001#54:novima
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=dual|Case=nominative	Adjective-qualificative	7	data/treex/000_orig/train/001#375:hrupna
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=plural|Case=accusative	Adjective-qualificative	34	data/treex/000_orig/train/001#105:nerojene
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=plural|Case=dative	Adjective-qualificative	5	data/treex/000_orig/train/001#399:miselnim
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=plural|Case=genitive	Adjective-qualificative	51	data/treex/000_orig/train/001#127:bombardiranih
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=plural|Case=instrumental	Adjective-qualificative	29	data/treex/000_orig/train/001#5:košatimi
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=plural|Case=locative	Adjective-qualificative	21	data/treex/000_orig/train/001#3:starih
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=plural|Case=nominative	Adjective-qualificative	104	data/treex/000_orig/train/001#19:svetli
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Animate=yes	Adjective-qualificative	17	data/treex/000_orig/train/001#216:spačenega
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Definiteness=no|Animate=no	Adjective-qualificative	64	data/treex/000_orig/train/001#5:ogromen
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Definiteness=yes|Animate=no	Adjective-qualificative	62	data/treex/000_orig/train/001#8:električni
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=dative	Adjective-qualificative	13	data/treex/000_orig/train/001#2:strupenemu
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=genitive	Adjective-qualificative	101	data/treex/000_orig/train/001#2:peščenega
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=instrumental	Adjective-qualificative	68	data/treex/000_orig/train/001#40:nedoločnim
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=locative	Adjective-qualificative	40	data/treex/000_orig/train/001#33:danem
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=nominative|Definiteness=no	Adjective-qualificative	254	data/treex/000_orig/train/001#1:jasen
Adjective	Adjective-qualificative	Degree=positive|Gender=masculine|Number=singular|Case=nominative|Definiteness=yes	Adjective-qualificative	92	data/treex/000_orig/train/001#13:Veliki
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=plural|Case=accusative	Adjective-qualificative	7	data/treex/000_orig/train/001#2:steklena
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=plural|Case=genitive	Adjective-qualificative	9	data/treex/000_orig/train/001#56:jeklenih
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=plural|Case=instrumental	Adjective-qualificative	10	data/treex/000_orig/train/001#42:lesenimi
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=plural|Case=locative	Adjective-qualificative	5	data/treex/000_orig/train/002#58:tlakovanih
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=plural|Case=nominative	Adjective-qualificative	20	data/treex/000_orig/train/001#43:bombardirana
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=singular|Case=accusative	Adjective-qualificative	49	data/treex/000_orig/train/001#20:zaprto
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=singular|Case=dative	Adjective-qualificative	4	data/treex/000_orig/train/001#15:potemnelemu
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=singular|Case=genitive	Adjective-qualificative	41	data/treex/000_orig/train/001#14:surovega
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=singular|Case=instrumental	Adjective-qualificative	15	data/treex/000_orig/train/001#232:polnim
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=singular|Case=locative	Adjective-qualificative	25	data/treex/000_orig/train/001#3:kuhanem
Adjective	Adjective-qualificative	Degree=positive|Gender=neuter|Number=singular|Case=nominative	Adjective-qualificative	217	data/treex/000_orig/train/001#7:vredno
Adjective	Adjective-qualificative	Degree=superlative|Gender=feminine|Number=singular|Case=accusative	Adjective-qualificative	1	data/treex/000_orig/test/001#208:najmanjšo
Adjective	Adjective-qualificative	Degree=superlative|Gender=feminine|Number=singular|Case=genitive	Adjective-qualificative	1	data/treex/000_orig/train/002#223:najnižje
Adjective	Adjective-qualificative	Degree=superlative|Gender=feminine|Number=singular|Case=nominative	Adjective-qualificative	3	data/treex/000_orig/train/002#226:največja
Adjective	Adjective-qualificative	Degree=superlative|Gender=masculine|Number=plural|Case=genitive	Adjective-qualificative	1	data/treex/000_orig/train/002#111:najzgodnejših
Adjective	Adjective-qualificative	Degree=superlative|Gender=masculine|Number=plural|Case=locative	Adjective-qualificative	1	data/treex/000_orig/train/001#8:najboljših
Adjective	Adjective-qualificative	Degree=superlative|Gender=masculine|Number=singular|Case=accusative|Animate=no	Adjective-qualificative	2	data/treex/000_orig/train/002#184:Največji
Adjective	Adjective-qualificative	Degree=superlative|Gender=masculine|Number=singular|Case=genitive	Adjective-qualificative	2	data/treex/000_orig/train/002#242:najmanjšega
Adjective	Adjective-qualificative	Degree=superlative|Gender=masculine|Number=singular|Case=locative	Adjective-qualificative	1	data/treex/000_orig/train/003#200:najhujšem
Adjective	Adjective-qualificative	Degree=superlative|Gender=masculine|Number=singular|Case=nominative	Adjective-qualificative	2	data/treex/000_orig/train/003#84:najhujši
Adjective	Adjective-qualificative	Degree=superlative|Gender=neuter|Number=singular|Case=genitive	Adjective-qualificative	1	data/treex/000_orig/train/003#465:najbližjega
Adjective	Adjective-qualificative	Degree=superlative|Gender=neuter|Number=singular|Case=nominative	Adjective-qualificative	2	data/treex/000_orig/train/001#306:Najslabše
Adposition	Adposition-preposition	Formation=compound	Adposition-preposition	34	data/treex/000_orig/train/001#91:nanj
Adposition	Adposition-preposition	Formation=simple|Case=accusative	Adposition-preposition	623	data/treex/000_orig/train/001#2:v
Adposition	Adposition-preposition	Formation=simple|Case=dative	Adposition-preposition	68	data/treex/000_orig/train/001#6:proti
Adposition	Adposition-preposition	Formation=simple|Case=genitive	Adposition-preposition	426	data/treex/000_orig/train/001#11:nasproti
Adposition	Adposition-preposition	Formation=simple|Case=instrumental	Adposition-preposition	525	data/treex/000_orig/train/001#2:z
Adposition	Adposition-preposition	Formation=simple|Case=locative	Adposition-preposition	915	data/treex/000_orig/train/001#3:po
Adverb	Adverb-general	Degree=comparative	Adverb-general	115	data/treex/000_orig/train/001#5:več
Adverb	Adverb-general	Degree=positive	Adverb-general	1964	data/treex/000_orig/train/001#2:hitro
Adverb	Adverb-general	Degree=superlative	Adverb-general	14	data/treex/000_orig/train/001#150:najbolj
Conjunction	Conjunction-coordinating	Formation=simple	Conjunction-coordinating	1330	data/treex/000_orig/train/001#1:in
Conjunction	Conjunction-subordinating	Formation=simple	Conjunction-subordinating	1345	data/treex/000_orig/train/001#2:da
Interjection	Interjection	_	Interjection	27	data/treex/000_orig/train/001#316:Oh
Noun	Noun-common	Gender=feminine|Number=dual|Case=accusative	Noun-common	5	data/treex/000_orig/train/002#376:ploščici
Noun	Noun-common	Gender=feminine|Number=dual|Case=genitive	Noun-common	3	data/treex/000_orig/train/001#195:sil
Noun	Noun-common	Gender=feminine|Number=dual|Case=instrumental	Noun-common	1	data/treex/000_orig/train/003#287:neznankama
Noun	Noun-common	Gender=feminine|Number=dual|Case=nominative	Noun-common	5	data/treex/000_orig/train/001#205:stvari
Noun	Noun-common	Gender=feminine|Number=plural|Case=accusative	Noun-common	110	data/treex/000_orig/train/001#2:prsi
Noun	Noun-common	Gender=feminine|Number=plural|Case=dative	Noun-common	16	data/treex/000_orig/train/001#6:stopnicam
Noun	Noun-common	Gender=feminine|Number=plural|Case=genitive	Noun-common	183	data/treex/000_orig/train/001#12:podob
Noun	Noun-common	Gender=feminine|Number=plural|Case=instrumental	Noun-common	70	data/treex/000_orig/train/001#5:potezami
Noun	Noun-common	Gender=feminine|Number=plural|Case=locative	Noun-common	103	data/treex/000_orig/train/001#8:urah
Noun	Noun-common	Gender=feminine|Number=plural|Case=nominative	Noun-common	157	data/treex/000_orig/train/001#1:ure
Noun	Noun-common	Gender=feminine|Number=singular|Case=accusative	Noun-common	377	data/treex/000_orig/train/001#2:brado
Noun	Noun-common	Gender=feminine|Number=singular|Case=dative	Noun-common	49	data/treex/000_orig/train/001#9:kampanji
Noun	Noun-common	Gender=feminine|Number=singular|Case=genitive	Noun-common	409	data/treex/000_orig/train/001#11:stene
Noun	Noun-common	Gender=feminine|Number=singular|Case=instrumental	Noun-common	137	data/treex/000_orig/train/001#14:proizvodnjo
Noun	Noun-common	Gender=feminine|Number=singular|Case=locative	Noun-common	269	data/treex/000_orig/train/001#4:strani
Noun	Noun-common	Gender=feminine|Number=singular|Case=nominative	Noun-common	559	data/treex/000_orig/train/001#2:Zmaga
Noun	Noun-common	Gender=masculine|Number=dual|Case=accusative	Noun-common	17	data/treex/000_orig/train/001#84:dolarja
Noun	Noun-common	Gender=masculine|Number=dual|Case=dative	Noun-common	1	data/treex/000_orig/train/001#373:otrokoma
Noun	Noun-common	Gender=masculine|Number=dual|Case=instrumental	Noun-common	2	data/treex/000_orig/train/003#50:dnevoma
Noun	Noun-common	Gender=masculine|Number=dual|Case=locative	Noun-common	3	data/treex/000_orig/train/002#1:obrazih
Noun	Noun-common	Gender=masculine|Number=dual|Case=nominative	Noun-common	8	data/treex/000_orig/train/001#140:človeka
Noun	Noun-common	Gender=masculine|Number=plural|Case=accusative	Noun-common	110	data/treex/000_orig/train/001#21:kose
Noun	Noun-common	Gender=masculine|Number=plural|Case=dative	Noun-common	18	data/treex/000_orig/train/001#43:kurnikom
Noun	Noun-common	Gender=masculine|Number=plural|Case=genitive	Noun-common	231	data/treex/000_orig/train/001#46:metrov
Noun	Noun-common	Gender=masculine|Number=plural|Case=instrumental	Noun-common	54	data/treex/000_orig/train/001#5:brki
Noun	Noun-common	Gender=masculine|Number=plural|Case=locative	Noun-common	73	data/treex/000_orig/train/001#3:predpražnikih
Noun	Noun-common	Gender=masculine|Number=plural|Case=nominative	Noun-common	179	data/treex/000_orig/train/001#19:lasje
Noun	Noun-common	Gender=masculine|Number=singular	Noun-common	2	data/treex/000_orig/train/003#271:ius_primae_noctis
Noun	Noun-common	Gender=masculine|Number=singular|Case=accusative|Animate=no	Noun-common	455	data/treex/000_orig/train/001#5:obraz
Noun	Noun-common	Gender=masculine|Number=singular|Case=accusative|Animate=yes	Noun-common	25	data/treex/000_orig/train/001#161:plemiča
Noun	Noun-common	Gender=masculine|Number=singular|Case=dative	Noun-common	42	data/treex/000_orig/train/001#2:vetru
Noun	Noun-common	Gender=masculine|Number=singular|Case=genitive	Noun-common	357	data/treex/000_orig/train/001#2:bloka
Noun	Noun-common	Gender=masculine|Number=singular|Case=instrumental	Noun-common	127	data/treex/000_orig/train/001#10:gležnjem
Noun	Noun-common	Gender=masculine|Number=singular|Case=locative	Noun-common	252	data/treex/000_orig/train/001#25:vogalu
Noun	Noun-common	Gender=masculine|Number=singular|Case=nominative	Noun-common	565	data/treex/000_orig/train/001#1:dan
Noun	Noun-common	Gender=neuter|Number=dual|Case=accusative	Noun-common	3	data/treex/000_orig/train/001#327:leti
Noun	Noun-common	Gender=neuter|Number=dual|Case=genitive	Noun-common	1	data/treex/000_orig/train/001#103:let
Noun	Noun-common	Gender=neuter|Number=dual|Case=locative	Noun-common	3	data/treex/000_orig/train/003#20:letih
Noun	Noun-common	Gender=neuter|Number=dual|Case=nominative	Noun-common	1	data/treex/000_orig/train/002#3:življenji
Noun	Noun-common	Gender=neuter|Number=plural|Case=accusative	Noun-common	52	data/treex/000_orig/train/001#2:vrata
Noun	Noun-common	Gender=neuter|Number=plural|Case=dative	Noun-common	4	data/treex/000_orig/train/001#308:vratom
Noun	Noun-common	Gender=neuter|Number=plural|Case=genitive	Noun-common	72	data/treex/000_orig/train/001#10:let
Noun	Noun-common	Gender=neuter|Number=plural|Case=instrumental	Noun-common	31	data/treex/000_orig/train/001#42:bruni
Noun	Noun-common	Gender=neuter|Number=plural|Case=locative	Noun-common	33	data/treex/000_orig/train/001#27:oknih
Noun	Noun-common	Gender=neuter|Number=plural|Case=nominative	Noun-common	39	data/treex/000_orig/train/001#42:okna
Noun	Noun-common	Gender=neuter|Number=singular|Case=accusative	Noun-common	142	data/treex/000_orig/train/001#11:dvigalo
Noun	Noun-common	Gender=neuter|Number=singular|Case=dative	Noun-common	22	data/treex/000_orig/train/001#15:ogledalu
Noun	Noun-common	Gender=neuter|Number=singular|Case=genitive	Noun-common	193	data/treex/000_orig/train/001#7:dvigala
