1	- masing	PUNCT ADJ	punct
1	gunung gunung	NOUN NOUN	compound
1	guru luar	NOUN ADJ	conj
1	habis habisan	ADJ ADJ	amod
1	hak hak	NOUN NOUN	conj
2	hak hak	NOUN NOUN	dobj
1	hal hal	NOUN NOUN	dobj
1	hal hal	NOUN NOUN	nmod
1	hal hal	NOUN NOUN	nsubjpass
1	hamba ku	NOUN PROPN	compound
1	hambatan hambatan	NOUN NOUN	dobj
1	hanya saja	ADV ADV	mwe
1	hari dini	NOUN NOUN	nmod
1	hari hari	NOUN NOUN	acl
1	hari hari	NOUN NOUN	dobj
1	hari jadi	NOUN NOUN	compound
1	henti hentinya	NOUN NOUN	dobj
2	hewan hewan	NOUN NOUN	nmod
1	hidup hidup	ADJ ADJ	amod
1	himpunan himpunan	PROPN NOUN	nsubj
1	hubungannya baik	NOUN CONJ	nmod
1	hukum hukum	NOUN NOUN	conj
1	huruf huruf	NOUN NOUN	nsubj
1	huruf huruf	NOUN NOUN	nsubjpass
1	hutan hutan	NOUN NOUN	nmod
1	hutang piutang	NOUN NOUN	nmod
1	ide ide	NOUN NOUN	dobj
1	ide ide	PROPN NOUN	nsubj
1	ikan ikan	NOUN NOUN	dobj
1	ikan ikan	NOUN NOUN	nmod
1	iklan iklan	NOUN NOUN	conj
1	ikut serta	VERB VERB	advcl
1	ikut serta	VERB VERB	ccomp
2	ilmu ilmu	NOUN NOUN	compound
2	ilmu ilmu	NOUN NOUN	nmod
1	imam imam	NOUN NOUN	nmod
1	individual kolektif maupun	ADJ ADJ CONJ	acl
1	indonesia dewasa	PROPN ADJ	nmod
1	info info	NOUN NOUN	dobj
1	informasi informasi	NOUN NOUN	conj
1	interdependency silih	NOUN NOUN	conj
1	istilah parousia	NOUN NOUN	nmod
1	istri istrimu	NOUN NOUN	dobj
1	istri istrimu	NOUN NOUN	nmod
1	istri salah	NOUN DET	compound
1	isu isu	NOUN NOUN	conj
1	isu isu	NOUN NOUN	dobj
2	isu isu	NOUN NOUN	nmod
1	itu karena	SCONJ CONJ	mark
1	jabatan jabatan	NOUN NOUN	nmod
1	jalan jalan	NOUN NOUN	dobj
1	jalan jalan	NOUN NOUN	root
1	jalur jalur	NOUN NOUN	nmod
1	jam jam	NOUN NOUN	conj
2	jam jam	NOUN NOUN	nmod
1	jarak waktu	NOUN NOUN	conj
1	jarang jarang	ADV ADV	advmod
1	jari jari	NOUN NOUN	nmod
1	jasa jasa	NOUN NOUN	dobj
1	jasa jasanya	NOUN NOUN	compound
1	jasa jasanya	NOUN NOUN	nmod
1	jauh jauh	ADJ ADJ	amod
1	jawab tanggung	NOUN NOUN	dobj
1	jejak jejak	PROPN NOUN	nsubj
1	jenis jenis	NOUN NOUN	dep
2	jenis jenis	NOUN NOUN	nsubj
1	jenis jenis	NOUN NOUN	parataxis
1	jua jua	PROPN PROPN	conj
1	juga begitu	CONJ CONJ	cc
1	juga tetapi	CONJ CONJ	cc
1	jungkir balik	VERB VERB	advmod
1	kabarnya konon	NOUN NOUN	nmod
1	kabupaten kota	NOUN NOUN	nmod
8	kadang kadang	ADV ADV	advmod
1	kadang kadang	NOUN NOUN	nmod
1	kali lipat	ADV VERB	advmod
1	kanak kanak	PROPN PROPN	name
1	kapal kapal	NOUN NOUN	compound
1	kapal kapal	NOUN NOUN	dobj
1	kapal kapal	NOUN NOUN	nmod
1	kapal kapal	NOUN NOUN	nsubjpass
1	kapal kapal	NOUN NOUN	root
1	kapal kapal	PROPN NOUN	nsubj
1	karakter karakter	NOUN NOUN	conj
1	karakter karakter	NOUN NOUN	nsubj
1	karaton karaton	NOUN NOUN	compound
1	karena bahkan	SCONJ CONJ	mark
1	karena hanya	CONJ ADV	cc
1	karena oleh	CONJ CONJ	mwe
1	karena oleh	SCONJ ADP	mark
1	karena oleh	SCONJ CONJ	mark
1	karena oleh ini	SCONJ ADP DET	mark
1	karya karya	NOUN NOUN	compound
2	karya karya	NOUN NOUN	conj
1	karya karya	NOUN NOUN	nmod
1	karya karya	NOUN NOUN	nsubj
2	karya karyanya	NOUN NOUN	nsubj
1	kata kata	NOUN NOUN	compound
4	kata kata	NOUN NOUN	dobj
1	kata kata	NOUN NOUN	nmod
1	kata katanya	NOUN NOUN	compound
1	katup katup	NOUN NOUN	compound
1	kawan kawan	NOUN NOUN	compound
3	kawan kawan	NOUN NOUN	conj
1	kawan kawannya	NOUN NOUN	conj
1	kawasan kawasan	NOUN NOUN	dobj
1	kawasan kawasan	NOUN NOUN	nmod
1	kayu baik	NOUN ADP	nmod
1	ke luar	VERB VERB	root
1	keabu abuan	ADJ ADJ	amod
1	keadaan keadaan	NOUN NOUN	nmod
1	kebijakan kebijaka	NOUN NOUN	dobj
1	kebiru biruan	ADJ ADJ	amod
1	kecaman kecaman	PROPN NOUN	nsubj
1	keesokan harinya	NOUN NOUN	nmod
1	keganjilan keganjilan	NOUN NOUN	dobj
1	kejadian kejadian	NOUN NOUN	nsubj
1	kelompok kelompok	NOUN NOUN	conj
1	kelompok kelompok	NOUN NOUN	dobj
1	kelompok kelompok	NOUN NOUN	nmod
1	kelompok kelompok	PROPN NOUN	nsubj
1	keluarga keluarga	NOUN NOUN	dobj
1	kemampuan kemampuan	NOUN NOUN	nmod
1	kemudian baru	ADV ADV	advmod
1	kepala kepala	NOUN NOUN	nsubjpass
1	keping keping	NOUN NOUN	nmod
1	keputusan keputusan	NOUN NOUN	compound
1	keragu raguan	NOUN NOUN	dobj
1	kerajaan kerajaan	NOUN NOUN	dobj
1	kerajaan kerajaan	PROPN PROPN	nmod
1	keterampilan keterampilan	NOUN NOUN	conj
1	khusus secara	ADJ ADP	advmod
5	kira kira	ADV ADV	advmod
1	kira kira	ADV ADV	root
1	kisah kisah	PROPN NOUN	nsubjpass
1	kitab kitab	NOUN NOUN	compound
1	kitab kitab	NOUN NOUN	conj
1	kitab kitab	NOUN NOUN	dobj
4	kitab kitab	NOUN NOUN	nsubj
1	kitab kitab	NOUN NOUN	root
1	klub klub	NOUN NOUN	nmod
1	kolang kaling	NOUN NOUN	conj
1	kolektor kolektor	NOUN NOUN	nmod
1	komentar komentar	NOUN NOUN	dobj
1	komune nya	NOUN NOUN	dobj
1	konflik konflik	NOUN NOUN	nmod
1	konsekuensi konsekuensi	NOUN NOUN	appos
2	konsep konsep	NOUN NOUN	nmod
1	konsep oleh	NOUN ADP	nmod
1	kopi kopian	NOUN NOUN	compound
1	kota ibu	NOUN NOUN	nsubjpass
1	kota kota	NOUN NOUN	conj
7	kota kota	NOUN NOUN	nmod
1	kotanya ibu	NOUN NOUN	nsubj
1	kubis kubisan	NOUN NOUN	nmod
2	kutub kutub	NOUN NOUN	nsubj
1	ladang ladang	NOUN NOUN	nmod
2	lagi banyak	ADV ADV	conj
1	lagu lagu	NOUN NOUN	advcl
3	lagu lagu	NOUN NOUN	conj
1	lagu lagu	NOUN NOUN	nmod
1	lagu lagu	NOUN NOUN	nsubj
1	lagu lagu	NOUN NOUN	root
3	lagu lagu	PROPN NOUN	nsubj
1	lahan lahan	NOUN NOUN	conj
3	lain lain	ADJ ADJ	amod
4	lain lain	ADJ ADJ	conj
1	lain lain	ADJ ADJ	mwe
3	lain lain	NOUN NOUN	conj
1	lajur lajur	NOUN NOUN	nmod
1	laki laki	NOUN NOUN	appos
8	laki laki	NOUN NOUN	compound
1	laki laki	NOUN NOUN	det
2	laki laki	NOUN NOUN	nmod
1	laki laki	NOUN NOUN	nsubj
1	laksanakan di	VERB VERB	acl
1	lalu lintas	NOUN NOUN	compound
1	langit langit	NOUN NOUN	appos
1	langit langit	NOUN NOUN	nmod
1	langit langit	NOUN NOUN	nsubj
1	langkah langkah	NOUN NOUN	nmod
1	lawan fagosit	NOUN NOUN	conj
1	lawan lawan	NOUN NOUN	nmod
2	lebih kurang	ADV ADV	advmod
1	lembaga lembaga	NOUN NOUN	compound
1	loji loji	NOUN NOUN	dobj
1	loji loji	PROPN PROPN	nsubj
1	luar angkasa	NOUN NOUN	compound
1	luka luka	ADJ ADJ	amod
1	luka luka	NOUN NOUN	nsubjpass
1	luka lukanya	NOUN NOUN	nmod
1	lumba lumba	NOUN NOUN	nsubj
1	mabuk mabukan	NOUN NOUN	conj
1	maka dari	SCONJ CONJ	mark
7	mana di	SCONJ CONJ	mark
1	mana yang	SCONJ CONJ	mark
1	manga manga	NOUN NOUN	nmod
1	manik manik	NOUN NOUN	compound
1	manusia bagi	NOUN ADP	nmod
1	marga marga	NOUN NOUN	compound
1	marga marga	NOUN NOUN	dobj
3	masa masa	NOUN NOUN	nmod
2	masalah masalah	NOUN NOUN	nmod
4	masing masing	ADV ADV	advmod
26	masing masing	DET DET	det
1	masing masing	NOUN NOUN	dobj
2	masjid masjid	NOUN NOUN	compound
1	mata mata	NOUN NOUN	nmod
1	materi materi	NOUN NOUN	nmod
1	memberi tahu	VERB VERB	dep
1	mencari cari	VERB VERB	advcl
1	mencuri dengar	VERB ADV	root
1	mendapatkan kembali	VERB VERB	xcomp
1	mengambil alih	VERB NOUN	root
1	mengambil alih	VERB VERB	root
1	mengambil alih	VERB VERB	xcomp
1	mengandung dewasa	VERB ADJ	root
1	mengikut sertakan	NOUN VERB	acl
1	meninggal dunia	VERB VERB	advcl
1	menjadi perdana	VERB NOUN	xcomp
1	menteri perdana	NOUN NOUN	nsubjpass
1	menyala nyala	VERB VERB	acl
1	mereka sendiri	PRON PRON	mwe
1	merupakan ibu	VERB NOUN	root
1	meski begitu	ADV ADV	advmod
1	meskipun demikian	SCONJ ADV	mark
1	metode metode	NOUN NOUN	dobj
1	mobil mobil	NOUN NOUN	compound
1	mobil mobil	NOUN NOUN	dobj
1	molekul molekul	PROPN NOUN	nsubj
1	monot bonot	NOUN NOUN	nmod
1	muatan muatan	NOUN NOUN	conj
2	mula mula	ADV ADV	advmod
1	multi nasional	ADJ ADJ	amod
1	murid murid	NOUN NOUN	nmod
1	mv kira	NOUN ADV	nmod
1	nabi nabi	PROPN PROPN	appos
1	nabi nabi	PROPN PROPN	dobj
1	naga naga	NOUN NOUN	dobj
1	nagari nagari	NOUN NOUN	dobj
1	nama nama	NOUN NOUN	dobj
1	nama nama	NOUN NOUN	nmod
1	nama nama	NOUN NOUN	nsubj
1	nama nama	NOUN NOUN	nsubjpass
1	nama nama	NOUN NOUN	root
1	nama sesuai	NOUN ADJ	nmod
1	namakan di	VERB VERB	parataxis
1	namu namu	NOUN NOUN	nmod
1	naskhah naskhah	NOUN NOUN	conj
2	negara negara	NOUN NOUN	compound
1	negara negara	NOUN NOUN	conj
5	negara negara	NOUN NOUN	nmod
1	negara negara	NOUN NOUN	root
1	negara negara	PROPN NOUN	nsubj
1	negara negara	PROPN NOUN	nsubjpass
1	negeri negeri	NOUN NOUN	nmod
1	neutrino neutrino	NOUN NOUN	nmod
1	ngarai ngarai	NOUN NOUN	dobj
1	non konsumtif	ADJ ADJ	conj
1	non militer	ADJ ADJ	amod
1	obat obatan	NOUN NOUN	conj
1	obat obatan	NOUN NOUN	dobj
1	obat obatan	NOUN NOUN	nmod
1	ombak ombak	NOUN NOUN	nmod
1	operasi operasi	NOUN NOUN	nmod
4	orang orang	NOUN NOUN	compound
5	orang orang	NOUN NOUN	conj
1	orang orang	NOUN NOUN	det
10	orang orang	NOUN NOUN	dobj
8	orang orang	NOUN NOUN	nmod
5	orang orang	NOUN NOUN	nsubj
1	orang orang	NOUN NOUN	root
1	orang orangnya	NOUN NOUN	dobj
1	ordo ordo	NOUN NOUN	nmod
1	organ organ	NOUN NOUN	nmod
1	organisasi organisasi	NOUN NOUN	appos
1	paham salah	VERB VERB	dep
1	pakai siap	VERB VERB	conj
1	pangeran pangeran	NOUN NOUN	nmod
1	pantai pantai	NOUN NOUN	nmod
1	partai partai	NOUN NOUN	dobj
1	paru parunya	NOUN NOUN	nmod
1	pas pasan	ADV ADV	advmod
1	pasal pasal	NOUN NOUN	dobj
1	pasar pasar	NOUN NOUN	nsubj
1	patriarkat patriarkat	NOUN NOUN	nmod
2	pecah belah	ADJ ADJ	amod
1	pelajar pelajar	NOUN NOUN	nmod
1	pelopori di	VERB VERB	acl
1	pelosok pelosok	NOUN NOUN	nmod
1	pemain pemain	NOUN NOUN	nmod
2	pemeran pemerannya	NOUN NOUN	nmod
1	pemukim pemukim	NOUN NOUN	nmod
1	penerbangan penerbangan	NOUN NOUN	dobj
1	pengalaman pengalamannya	PROPN NOUN	nsubjpass
1	pengarang intelektual	NOUN NOUN	nmod
1	pengaruh pengaruh	NOUN NOUN	nmod
1	penguasa penguasa	NOUN NOUN	nmod
1	penjara penjara	NOUN NOUN	nmod
1	penyakit penyakit	NOUN NOUN	conj
1	percetakan percetakan	NOUN NOUN	nsubj
1	peri peri	NOUN NOUN	dobj
1	perlahan lahan	ADV ADV	advmod
1	perlahan lahan	ADV NOUN	xcomp
1	permukaan atas	NOUN NOUN	nmod
1	persidangan persidangan	NOUN NOUN	root
1	pertama kali	NUM NOUN	nmod
1	pertama tama	NUM NUM	nummod
1	pertanyaan pertanyaan	PROPN NOUN	nsubj
1	pertempuran pertempuran	NOUN NOUN	nsubj
1	pertemuan pertemuan	NOUN NOUN	nmod
2	perundang undangan	NOUN NOUN	compound
1	perwira perwira	NOUN NOUN	conj
1	pesawat pesawat	NOUN NOUN	conj
1	pesawat pesawat	NOUN NOUN	nmod
1	peta tengahnya	NOUN ADP	nmod
1	petunjuk petunjuk	NOUN NOUN	dobj
1	pipa pipa	NOUN NOUN	nmod
1	play off	NOUN NOUN	compound
1	pohon pohon	NOUN NOUN	dobj
1	pohon pohon	NOUN NOUN	nmod
1	pokok pokok	NOUN NOUN	nmod
1	pola pola	NOUN NOUN	dobj
1	pondok pondok	PROPN PROPN	appos
1	porto novo	PROPN PROPN	nsubj
1	potongan potongannya	NOUN NOUN	nsubjpass
1	pra columbus	NOUN PROPN	compound
1	pra milenial	NOUN NOUN	compound
1	praktik praktik	NOUN NOUN	dobj
1	prasasti prasasti	NOUN NOUN	conj
1	prinsip prinsip	NOUN NOUN	dobj
1	produk produk	NOUN NOUN	conj
2	produk produk	NOUN NOUN	dobj
2	produk produk	NOUN NOUN	nmod
1	produk produknya	NOUN NOUN	nmod
1	program program	NOUN NOUN	dobj
1	protokol protokol	NOUN NOUN	dobj
1	proyek proyek	NOUN NOUN	conj
1	puing puing	NOUN NOUN	dobj
1	puing puing	NOUN NOUN	nmod
1	puisi puisi	NOUN NOUN	dobj
1	pukul s	NOUN ADP	compound
1	pulau pulau	NOUN NOUN	conj
1	pulau pulau	NOUN NOUN	nmod
1	pulau pulau	NOUN NOUN	nsubjpass
1	putera puterinya	NOUN NOUN	nmod
1	putra putra	NOUN NOUN	compound
1	putra putra	NOUN NOUN	nmod
1	putus putus	ADJ ADJ	xcomp
1	radio radio	NOUN NOUN	nsubj
1	ragu ragu	ADJ ADJ	amod
1	rahasia rahasia	NOUN NOUN	dobj
3	raja raja	NOUN NOUN	compound
2	raja raja	NOUN NOUN	nmod
1	raja raja	NOUN PROPN	root
1	raja raja	PROPN PROPN	appos
1	raja raja	PROPN PROPN	nmod
1	rapat rapat	NOUN NOUN	conj
1	ras salah	NOUN DET	ccomp
1	rasul rasul	NOUN NOUN	compound
1	rata rat	ADV ADV	advmod
3	rata rata	ADJ ADJ	amod
4	rata rata	ADV ADV	advmod
1	rata rata	NOUN NOUN	compound
1	rawa rawa	NOUN NOUN	nmod
1	rekan rekannya	NOUN NOUN	compound
1	rempah rempah	NOUN NOUN	conj
1	rencana rencana	NOUN NOUN	dobj
1	ritual ritual	NOUN NOUN	nsubjpass
1	ruang waktu	NOUN NOUN	dobj
1	rujukan rujukan	NOUN NOUN	nsubjpass
1	rumah makan	NOUN NOUN	nsubjpass
2	rumah rumah	NOUN NOUN	nmod
1	rumah sakit	NOUN NOUN	root
1	rumah tangga	NOUN NOUN	compound
1	rute rute	NOUN NOUN	nmod
1	saat pada	SCONJ CONJ	mark
1	saat saat	NOUN NOUN	dobj
1	saja tentu	ADV ADV	advmod
1	sajak sajaknya	NOUN NOUN	nsubj
1	saksi saksi	PROPN PROPN	nsubj
1	salah satu	DET DET	det
1	salah satu	NOUN NUM	det
1	sama dengan	ADJ ADP	advmod
6	sama lain	ADJ ADJ	mwe
1	sama lain	CONJ ADJ	mwe
1	sama lain	DET DET	mwe
1	sama lain	NOUN NOUN	mwe
1	sama lainnya	DET DET	mwe
1	sama sama	ADJ ADJ	amod
1	samar samar	ADJ ADJ	xcomp
1	sankin kōtai	NOUN VERB	dobj
1	santri santri	NOUN NOUN	dobj
1	sarana sarana	NOUN NOUN	conj
1	satu hanya	DET ADV	nummod
