vyhlaska.iso-007-p72s5	document_01_007-sentence1
zakon.iso-001-p4s4	document_02_001-sentence17
zakon.iso-001-p4s5	document_02_001-sentence18
zakon.iso-001-p4s6	document_02_001-sentence19
zakon.iso-001-p4s7	document_02_001-sentence20
zakon.iso-001-p4s8	document_02_001-sentence21
zakon.iso-001-p4s9	document_02_001-sentence22
zakon.iso-001-p4s10	document_02_001-sentence23
zakon.iso-001-p4s12	document_02_001-sentence24
zakon.iso-001-p4s13	document_02_001-sentence25
zakon.iso-001-p4s14	document_02_001-sentence26
zakon.iso-001-p4s15	document_02_001-sentence27
zakon.iso-001-p4s16	document_02_001-sentence28
zakon.iso-001-p5s1	document_02_001-sentence29
zakon.iso-001-p5s2	document_02_001-sentence30
zakon.iso-001-p5s3	document_02_001-sentence31
zakon.iso-001-p5s4	document_02_001-sentence32
zakon.iso-001-p5s5	document_02_001-sentence33
zakon.iso-001-p5s6	document_02_001-sentence34
zakon.iso-001-p5s8	document_02_001-sentence35
zakon.iso-001-p5s9	document_02_001-sentence36
zakon.iso-001-p5s10	document_02_001-sentence37
zakon.iso-001-p5s11	document_02_001-sentence38
zakon.iso-001-p5s13	document_02_001-sentence39
zakon.iso-001-p5s14	document_02_001-sentence40
zakon.iso-001-p5s15	document_02_001-sentence41
zakon.iso-001-p5s16	document_02_001-sentence42
zakon.iso-001-p5s17	document_02_001-sentence43
zakon.iso-001-p5s18	document_02_001-sentence44
zakon.iso-001-p5s19	document_02_001-sentence45
zakon.iso-001-p5s20	document_02_001-sentence46
zakon.iso-001-p5s21	document_02_001-sentence47
zakon.iso-001-p5s22	document_02_001-sentence48
zakon.iso-001-p5s23	document_02_001-sentence49
zakon.iso-001-p5s24	document_02_001-sentence50
zakon.iso-001-p6s1	document_02_001-sentence51
zakon.iso-001-p6s2	document_02_001-sentence52
zakon.iso-001-p6s3	document_02_001-sentence53
zakon.iso-001-p7s1	document_02_001-sentence54
zakon.iso-001-p7s2	document_02_001-sentence55
zakon.iso-001-p7s3	document_02_001-sentence56
zakon.iso-001-p7s4	document_02_001-sentence57
zakon.iso-001-p7s5	document_02_001-sentence58
zakon.iso-002-p7s6	document_02_002-sentence1
zakon.iso-002-p7s7	document_02_002-sentence2
zakon.iso-002-p8s1	document_02_002-sentence3
zakon.iso-002-p8s2	document_02_002-sentence4
zakon.iso-002-p8s3	document_02_002-sentence5
zakon.iso-002-p8s4	document_02_002-sentence6
zakon.iso-002-p8s5	document_02_002-sentence7
zakon.iso-002-p8s6	document_02_002-sentence8
zakon.iso-002-p8s7	document_02_002-sentence9
zakon.iso-002-p8s8	document_02_002-sentence10
zakon.iso-002-p8s9	document_02_002-sentence11
zakon.iso-002-p8s10	document_02_002-sentence12
zakon.iso-002-p8s11	document_02_002-sentence13
zakon.iso-002-p8s12	document_02_002-sentence14
zakon.iso-002-p8s13	document_02_002-sentence15
zakon.iso-002-p8s14	document_02_002-sentence16
zakon.iso-002-p9s1	document_02_002-sentence17
zakon.iso-002-p9s2	document_02_002-sentence18
zakon.iso-002-p9s3	document_02_002-sentence19
zakon.iso-002-p9s4	document_02_002-sentence20
zakon.iso-002-p9s5	document_02_002-sentence21
zakon.iso-002-p9s6	document_02_002-sentence22
zakon.iso-002-p9s8	document_02_002-sentence23
zakon.iso-002-p10s1	document_02_002-sentence24
zakon.iso-002-p10s2	document_02_002-sentence25
zakon.iso-002-p11s1	document_02_002-sentence26
zakon.iso-002-p11s2	document_02_002-sentence27
zakon.iso-002-p11s3	document_02_002-sentence28
zakon.iso-002-p11s4	document_02_002-sentence29
zakon.iso-002-p11s5	document_02_002-sentence30
zakon.iso-002-p11s7	document_02_002-sentence31
zakon.iso-002-p11s8	document_02_002-sentence32
zakon.iso-002-p11s9	document_02_002-sentence33
zakon.iso-002-p12s1	document_02_002-sentence34
zakon.iso-002-p12s2	document_02_002-sentence35
zakon.iso-002-p12s3	document_02_002-sentence36
zakon.iso-002-p12s5	document_02_002-sentence37
zakon.iso-002-p12s6	document_02_002-sentence38
zakon.iso-002-p12s7	document_02_002-sentence39
zakon.iso-002-p12s8	document_02_002-sentence40
zakon.iso-002-p12s9	document_02_002-sentence41
zakon.iso-002-p13s1	document_02_002-sentence42
zakon.iso-002-p13s2	document_02_002-sentence43
zakon.iso-002-p13s3	document_02_002-sentence44
zakon.iso-002-p13s4	document_02_002-sentence45
zakon.iso-002-p13s5	document_02_002-sentence46
zakon.iso-002-p13s6	document_02_002-sentence47
zakon.iso-002-p14s1	document_02_002-sentence48
zakon.iso-002-p14s2	document_02_002-sentence49
zakon.iso-002-p14s3	document_02_002-sentence50
zakon.iso-002-p14s5	document_02_002-sentence51
zakon.iso-002-p14s7	document_02_002-sentence52
zakon.iso-002-p15s1	document_02_002-sentence53
zakon.iso-002-p15s2	document_02_002-sentence54
zakon.iso-002-p15s3	document_02_002-sentence55
zakon.iso-002-p15s5	document_02_002-sentence56
zakon.iso-002-p15s6	document_02_002-sentence57
zakon.iso-002-p16s1	document_02_002-sentence58
zakon.iso-002-p16s2	document_02_002-sentence59
zakon.iso-002-p16s3	document_02_002-sentence60
zakon.iso-002-p16s4	document_02_002-sentence61
zakon.iso-002-p16s5	document_02_002-sentence62
zakon.iso-002-p16s6	document_02_002-sentence63
zakon.iso-002-p16s7	document_02_002-sentence64
zakon.iso-002-p17s1	document_02_002-sentence65
zakon.iso-002-p17s2	document_02_002-sentence66
zakon.iso-002-p17s3	document_02_002-sentence67
zakon.iso-002-p17s4	document_02_002-sentence68
zakon.iso-002-p18s1	document_02_002-sentence69
zakon.iso-002-p18s2	document_02_002-sentence70
zakon.iso-002-p18s3	document_02_002-sentence71
zakon.iso-003-p18s5	document_02_003-sentence1
zakon.iso-003-p18s7	document_02_003-sentence2
zakon.iso-003-p18s8	document_02_003-sentence3
zakon.iso-003-p18s9	document_02_003-sentence4
zakon.iso-003-p18s10	document_02_003-sentence5
zakon.iso-003-p18s11	document_02_003-sentence6
zakon.iso-003-p18s12	document_02_003-sentence7
zakon.iso-003-p18s13	document_02_003-sentence8
zakon.iso-003-p18s14	document_02_003-sentence9
zakon.iso-003-p18s15	document_02_003-sentence10
zakon.iso-003-p18s16	document_02_003-sentence11
zakon.iso-003-p18s17	document_02_003-sentence12
zakon.iso-003-p18s18	document_02_003-sentence13
zakon.iso-003-p18s19	document_02_003-sentence14
zakon.iso-003-p18s20	document_02_003-sentence15
zakon.iso-003-p18s21	document_02_003-sentence16
zakon.iso-003-p19s1	document_02_003-sentence17
zakon.iso-003-p19s2	document_02_003-sentence18
zakon.iso-003-p20s1	document_02_003-sentence19
zakon.iso-003-p20s2	document_02_003-sentence20
zakon.iso-003-p20s3	document_02_003-sentence21
zakon.iso-003-p20s4	document_02_003-sentence22
zakon.iso-003-p20s6	document_02_003-sentence23
zakon.iso-003-p20s7	document_02_003-sentence24
zakon.iso-003-p20s8	document_02_003-sentence25
zakon.iso-003-p20s10	document_02_003-sentence26
zakon.iso-003-p20s11	document_02_003-sentence27
zakon.iso-003-p20s12	document_02_003-sentence28
zakon.iso-003-p21s1	document_02_003-sentence29
zakon.iso-003-p21s2	document_02_003-sentence30
zakon.iso-003-p21s3	document_02_003-sentence31
zakon.iso-003-p21s4	document_02_003-sentence32
zakon.iso-003-p21s5	document_02_003-sentence33
zakon.iso-003-p21s6	document_02_003-sentence34
zakon.iso-003-p21s7	document_02_003-sentence35
zakon.iso-003-p21s8	document_02_003-sentence36
zakon.iso-003-p21s9	document_02_003-sentence37
zakon.iso-003-p21s10	document_02_003-sentence38
zakon.iso-003-p21s11	document_02_003-sentence39
zakon.iso-003-p21s12	document_02_003-sentence40
zakon.iso-003-p21s14	document_02_003-sentence41
zakon.iso-003-p21s15	document_02_003-sentence42
zakon.iso-003-p21s16	document_02_003-sentence43
zakon.iso-003-p21s17	document_02_003-sentence44
zakon.iso-003-p21s18	document_02_003-sentence45
zakon.iso-003-p21s19	document_02_003-sentence46
zakon.iso-003-p21s20	document_02_003-sentence47
zakon.iso-003-p21s21	document_02_003-sentence48
zakon.iso-003-p21s22	document_02_003-sentence49
zakon.iso-003-p21s23	document_02_003-sentence50
zakon.iso-003-p21s24	document_02_003-sentence51
zakon.iso-003-p21s25	document_02_003-sentence52
zakon.iso-003-p22s1	document_02_003-sentence53
zakon.iso-003-p22s2	document_02_003-sentence54
zakon.iso-003-p22s3	document_02_003-sentence55
zakon.iso-003-p22s4	document_02_003-sentence56
zakon.iso-003-p22s5	document_02_003-sentence57
zakon.iso-003-p22s6	document_02_003-sentence58
zakon.iso-003-p22s7	document_02_003-sentence59
zakon.iso-003-p22s8	document_02_003-sentence60
zakon.iso-003-p22s9	document_02_003-sentence61
zakon.iso-003-p22s10	document_02_003-sentence62
zakon.iso-003-p22s11	document_02_003-sentence63
zakon.iso-003-p22s12	document_02_003-sentence64
zakon.iso-003-p22s13	document_02_003-sentence65
zakon.iso-003-p22s14	document_02_003-sentence66
zakon.iso-003-p22s15	document_02_003-sentence67
zakon.iso-003-p23s1	document_02_003-sentence68
zakon.iso-003-p23s2	document_02_003-sentence69
zakon.iso-003-p23s3	document_02_004-sentence1
zakon.iso-004-p23s8	document_02_004-sentence2
zakon.iso-004-p24s1	document_02_004-sentence3
zakon.iso-004-p24s2	document_02_004-sentence4
zakon.iso-004-p24s3	document_02_004-sentence5
zakon.iso-004-p24s4	document_02_004-sentence6
zakon.iso-004-p24s7	document_02_004-sentence7
zakon.iso-004-p24s9	document_02_004-sentence8
zakon.iso-004-p24s10	document_02_004-sentence9
zakon.iso-004-p24s11	document_02_004-sentence10
zakon.iso-004-p25s1	document_02_004-sentence11
zakon.iso-004-p25s2	document_02_004-sentence12
zakon.iso-004-p25s3	document_02_004-sentence13
zakon.iso-004-p25s4	document_02_004-sentence14
zakon.iso-004-p25s5	document_02_004-sentence15
zakon.iso-004-p25s6	document_02_004-sentence16
zakon.iso-004-p25s7	document_02_004-sentence17
zakon.iso-004-p25s8	document_02_004-sentence18
zakon.iso-004-p25s9	document_02_004-sentence19
zakon.iso-004-p25s10	document_02_004-sentence20
zakon.iso-004-p25s11	document_02_004-sentence21
zakon.iso-004-p25s12	document_02_004-sentence22
zakon.iso-004-p25s13	document_02_004-sentence23
zakon.iso-004-p25s14	document_02_004-sentence24
zakon.iso-004-p25s15	document_02_004-sentence25
zakon.iso-004-p25s16	document_02_004-sentence26
zakon.iso-004-p26s1	document_02_004-sentence27
zakon.iso-004-p26s2	document_02_004-sentence28
zakon.iso-004-p26s3	document_02_004-sentence29
zakon.iso-004-p26s4	document_02_004-sentence30
zakon.iso-004-p26s5	document_02_004-sentence31
zakon.iso-004-p26s7	document_02_004-sentence32
zakon.iso-004-p26s8	document_02_004-sentence33
zakon.iso-004-p26s9	document_02_004-sentence34
zakon.iso-004-p26s10	document_02_004-sentence35
zakon.iso-004-p27s1	document_02_004-sentence36
zakon.iso-004-p27s2	document_02_004-sentence37
zakon.iso-004-p27s4	document_02_004-sentence38
zakon.iso-004-p27s5	document_02_004-sentence39
zakon.iso-004-p28s1	document_02_004-sentence40
zakon.iso-004-p28s2	document_02_004-sentence41
zakon.iso-004-p28s3	document_02_004-sentence42
zakon.iso-004-p28s4	document_02_004-sentence43
zakon.iso-004-p28s5	document_02_004-sentence44
zakon.iso-004-p28s6	document_02_004-sentence45
zakon.iso-004-p28s7	document_02_004-sentence46
zakon.iso-004-p28s8	document_02_004-sentence47
zakon.iso-004-p29s1	document_02_004-sentence48
zakon.iso-004-p29s2	document_02_004-sentence49
zakon.iso-004-p29s4	document_02_004-sentence50
zakon.iso-004-p29s5	document_02_004-sentence51
zakon.iso-004-p29s6	document_02_004-sentence52
zakon.iso-004-p29s7	document_02_004-sentence53
zakon.iso-004-p29s8	document_02_004-sentence54
zakon.iso-004-p29s9	document_02_004-sentence55
zakon.iso-004-p30s1	document_02_004-sentence56
zakon.iso-004-p30s2	document_02_004-sentence57
zakon.iso-004-p30s3	document_02_004-sentence58
zakon.iso-004-p30s4	document_02_004-sentence59
zakon.iso-004-p31s1	document_02_004-sentence60
zakon.iso-004-p31s2	document_02_004-sentence61
zakon.iso-004-p31s3	document_02_004-sentence62
zakon.iso-004-p31s5	document_02_004-sentence63
zakon.iso-004-p31s6	document_02_004-sentence64
zakon.iso-004-p31s7	document_02_004-sentence65
zakon.iso-004-p32s1	document_02_004-sentence66
zakon.iso-004-p32s2	document_02_004-sentence67
zakon.iso-005-p33s1	document_02_005-sentence1
zakon.iso-005-p33s2	document_02_005-sentence2
zakon.iso-005-p33s3	document_02_005-sentence3
zakon.iso-005-p33s5	document_02_005-sentence4
zakon.iso-005-p33s6	document_02_005-sentence5
zakon.iso-005-p33s10	document_02_005-sentence6
zakon.iso-005-p33s11	document_02_005-sentence7
zakon.iso-005-p33s12	document_02_005-sentence8
zakon.iso-005-p33s14	document_02_005-sentence9
zakon.iso-005-p33s15	document_02_005-sentence10
zakon.iso-005-p33s16	document_02_005-sentence11
zakon.iso-005-p33s17	document_02_005-sentence12
zakon.iso-005-p33s18	document_02_005-sentence13
zakon.iso-005-p33s19	document_02_005-sentence14
zakon.iso-005-p33s20	document_02_005-sentence15
zakon.iso-005-p33s21	document_02_005-sentence16
zakon.iso-005-p34s1	document_02_005-sentence17
zakon.iso-005-p34s2	document_02_005-sentence18
zakon.iso-005-p34s4	document_02_005-sentence19
zakon.iso-005-p34s5	document_02_005-sentence20
zakon.iso-005-p34s6	document_02_005-sentence21
zakon.iso-005-p34s7	document_02_005-sentence22
zakon.iso-005-p34s9	document_02_005-sentence23
zakon.iso-005-p35s1	document_02_005-sentence24
zakon.iso-005-p35s2	document_02_005-sentence25
zakon.iso-005-p35s3	document_02_005-sentence26
zakon.iso-005-p35s4	document_02_005-sentence27
zakon.iso-005-p35s5	document_02_005-sentence28
zakon.iso-005-p35s6	document_02_005-sentence29
zakon.iso-005-p35s7	document_02_005-sentence30
zakon.iso-005-p35s8	document_02_005-sentence31
zakon.iso-005-p36s1	document_02_005-sentence32
zakon.iso-005-p36s2	document_02_005-sentence33
zakon.iso-005-p36s4	document_02_005-sentence34
zakon.iso-005-p36s5	document_02_005-sentence35
zakon.iso-005-p36s6	document_02_005-sentence36
zakon.iso-005-p36s8	document_02_005-sentence37
zakon.iso-005-p36s9	document_02_005-sentence38
zakon.iso-005-p36s10	document_02_005-sentence39
zakon.iso-005-p36s11	document_02_005-sentence40
zakon.iso-005-p36s12	document_02_005-sentence41
zakon.iso-005-p36s13	document_02_005-sentence42
zakon.iso-005-p36s14	document_02_005-sentence43
zakon.iso-005-p36s15	document_02_005-sentence44
zakon.iso-005-p36s16	document_02_005-sentence45
zakon.iso-005-p36s17	document_02_005-sentence46
zakon.iso-005-p37s1	document_02_005-sentence47
zakon.iso-005-p37s2	document_02_005-sentence48
zakon.iso-005-p37s3	document_02_005-sentence49
zakon.iso-005-p37s4	document_02_005-sentence50
zakon.iso-005-p37s5	document_02_005-sentence51
zakon.iso-005-p37s6	document_02_005-sentence52
zakon.iso-005-p37s7	document_02_005-sentence53
zakon.iso-005-p37s8	document_02_005-sentence54
zakon.iso-005-p37s9	document_02_005-sentence55
zakon.iso-005-p37s10	document_02_005-sentence56
zakon.iso-005-p38s1	document_02_005-sentence57
zakon.iso-005-p38s2	document_02_005-sentence58
zakon.iso-005-p39s1	document_02_005-sentence59
zakon.iso-005-p39s2	document_02_005-sentence60
zakon.iso-005-p39s3	document_02_005-sentence61
zakon.iso-006-p39s4	document_02_006-sentence1
zakon.iso-006-p39s5	document_02_006-sentence2
zakon.iso-006-p39s6	document_02_006-sentence3
zakon.iso-006-p39s7	document_02_006-sentence4
zakon.iso-006-p39s8	document_02_006-sentence5
zakon.iso-006-p39s9	document_02_006-sentence6
zakon.iso-006-p39s10	document_02_006-sentence7
zakon.iso-006-p40s1	document_02_006-sentence8
zakon.iso-006-p40s2	document_02_006-sentence9
zakon.iso-006-p40s3	document_02_006-sentence10
zakon.iso-006-p40s5	document_02_006-sentence11
zakon.iso-006-p40s6	document_02_006-sentence12
zakon.iso-006-p40s7	document_02_006-sentence13
zakon.iso-006-p40s8	document_02_006-sentence14
zakon.iso-006-p40s9	document_02_006-sentence15
zakon.iso-006-p40s11	document_02_006-sentence16
zakon.iso-006-p40s13	document_02_006-sentence17
zakon.iso-006-p40s14	document_02_006-sentence18
zakon.iso-006-p40s15	document_02_006-sentence19
zakon.iso-006-p40s16	document_02_006-sentence20
zakon.iso-006-p40s18	document_02_006-sentence21
zakon.iso-006-p40s19	document_02_006-sentence22
zakon.iso-006-p41s1	document_02_006-sentence23
